"fecha","coca_cost.Food","coca_cost.quantity","coca_cost.Demo_Group","coca_cost.Sex","coca_cost.cost_day","coca_cost.Cost_1000kcal","scenario"
2016-12-01,Azúcar sulfitada,602.3895,gestantes 31 a 50 años,1,1653.5051,691.4131,"upr"
2016-12-01,Azúcar sulfitada,642.4174,lactantes < 18 años,1,1763.3782,691.4131,"upr"
2016-12-01,Azúcar sulfitada,638.9997,lactantes 19 a 30 años,1,1753.9968,691.4131,"upr"
2016-12-01,Azúcar sulfitada,609.9462,lactantes 31 a 50 años,1,1674.2475,691.4131,"upr"
2016-12-01,Azúcar sulfitada,279.7516,1 a 3 años,0, 767.8930,691.4131,"upr"
2016-12-01,Azúcar sulfitada,361.8144,4 a 8 años,0, 993.1479,691.4131,"upr"
2016-12-01,Azúcar sulfitada,505.4427,9 a 13 años,0,1387.3947,691.4131,"upr"
2016-12-01,Azúcar sulfitada,691.8723,14 a 18 años,0,1899.1273,691.4131,"upr"
2016-12-01,Azúcar sulfitada,710.2093,19 a 30 años,0,1949.4608,691.4131,"upr"
2016-12-01,Azúcar sulfitada,672.7691,31 a 50 años,0,1846.6908,691.4131,"upr"
2016-12-01,Azúcar sulfitada,546.8919,51 a 70 años,0,1501.1692,691.4131,"upr"
2016-12-01,Azúcar sulfitada,510.2502,>70 años,0,1400.5909,691.4131,"upr"
2017-01-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 600.3138,589.0596,"hat"
2017-01-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 775.5392,589.0596,"hat"
2017-01-01,Azúcar sulfitada,456.2234,9 a 13 años,1,1066.9088,589.0596,"hat"
2017-01-01,Azúcar sulfitada,532.2268,14 a 18 años,1,1244.6478,589.0596,"hat"
2017-01-01,Azúcar sulfitada,511.7957,19 a 30 años,1,1196.8683,589.0596,"hat"
2017-01-01,Azúcar sulfitada,482.7422,31 a 50 años,1,1128.9247,589.0596,"hat"
2017-01-01,Azúcar sulfitada,438.5859,51 a 70 años,1,1025.6624,589.0596,"hat"
2017-01-01,Azúcar sulfitada,412.3622,>70 años,1, 964.3364,589.0596,"hat"
2017-01-01,Azúcar sulfitada,634.8608,gestantes < 18 años,1,1484.6641,589.0596,"hat"
2017-01-01,Azúcar sulfitada,631.4431,gestantes 19 a 30 años,1,1476.6715,589.0596,"hat"
2017-01-01,Azúcar sulfitada,602.3895,gestantes 31 a 50 años,1,1408.7280,589.0596,"hat"
2017-01-01,Azúcar sulfitada,642.4174,lactantes < 18 años,1,1502.3359,589.0596,"hat"
2017-01-01,Azúcar sulfitada,638.9997,lactantes 19 a 30 años,1,1494.3433,589.0596,"hat"
2017-01-01,Azúcar sulfitada,609.9462,lactantes 31 a 50 años,1,1426.3997,589.0596,"hat"
2017-01-01,Azúcar sulfitada,279.7516,1 a 3 años,0, 654.2177,589.0596,"hat"
2017-01-01,Azúcar sulfitada,361.8144,4 a 8 años,0, 846.1269,589.0596,"hat"
2017-01-01,Azúcar sulfitada,505.4427,9 a 13 años,0,1182.0113,589.0596,"hat"
2017-01-01,Azúcar sulfitada,691.8723,14 a 18 años,0,1617.9894,589.0596,"hat"
2017-01-01,Azúcar sulfitada,710.2093,19 a 30 años,0,1660.8717,589.0596,"hat"
2017-01-01,Azúcar sulfitada,672.7691,31 a 50 años,0,1573.3153,589.0596,"hat"
2017-01-01,Azúcar sulfitada,546.8919,51 a 70 años,0,1278.9432,589.0596,"hat"
2017-01-01,Azúcar sulfitada,510.2502,>70 años,0,1193.2540,589.0596,"hat"
2017-01-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 558.1816,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 721.1090,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,456.2234,9 a 13 años,1, 992.0293,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,532.2268,14 a 18 años,1,1157.2938,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,511.7957,19 a 30 años,1,1112.8676,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,482.7422,31 a 50 años,1,1049.6926,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,438.5859,51 a 70 años,1, 953.6776,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,412.3622,>70 años,1, 896.6557,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,634.8608,gestantes < 18 años,1,1380.4649,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,631.4431,gestantes 19 a 30 años,1,1373.0333,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,602.3895,gestantes 31 a 50 años,1,1309.8582,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,642.4174,lactantes < 18 años,1,1396.8964,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,638.9997,lactantes 19 a 30 años,1,1389.4648,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,609.9462,lactantes 31 a 50 años,1,1326.2898,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,279.7516,1 a 3 años,0, 608.3023,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,361.8144,4 a 8 años,0, 786.7426,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,505.4427,9 a 13 años,0,1099.0534,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,691.8723,14 a 18 años,0,1504.4329,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,710.2093,19 a 30 años,0,1544.3056,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,672.7691,31 a 50 años,0,1462.8943,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,546.8919,51 a 70 años,0,1189.1822,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,510.2502,>70 años,0,1109.5070,547.7172,"lwr"
2017-01-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 645.6263,633.5225,"upr"
2017-01-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 834.0779,633.5225,"upr"
2017-01-01,Azúcar sulfitada,456.2234,9 a 13 años,1,1147.4404,633.5225,"upr"
2017-01-01,Azúcar sulfitada,532.2268,14 a 18 años,1,1338.5953,633.5225,"upr"
2017-01-01,Azúcar sulfitada,511.7957,19 a 30 años,1,1287.2093,633.5225,"upr"
2017-01-01,Azúcar sulfitada,482.7422,31 a 50 años,1,1214.1373,633.5225,"upr"
2017-01-01,Azúcar sulfitada,438.5859,51 a 70 años,1,1103.0806,633.5225,"upr"
2017-01-01,Azúcar sulfitada,412.3622,>70 años,1,1037.1257,633.5225,"upr"
2017-01-01,Azúcar sulfitada,634.8608,gestantes < 18 años,1,1596.7284,633.5225,"upr"
2017-01-01,Azúcar sulfitada,631.4431,gestantes 19 a 30 años,1,1588.1325,633.5225,"upr"
2017-01-01,Azúcar sulfitada,602.3895,gestantes 31 a 50 años,1,1515.0605,633.5225,"upr"
2017-01-01,Azúcar sulfitada,642.4174,lactantes < 18 años,1,1615.7341,633.5225,"upr"
2017-01-01,Azúcar sulfitada,638.9997,lactantes 19 a 30 años,1,1607.1382,633.5225,"upr"
