"fecha","coca_cost.Food","coca_cost.quantity","coca_cost.Demo_Group","coca_cost.Sex","coca_cost.cost_day","coca_cost.Cost_1000kcal","scenario"
2017-06-01,Azúcar sulfitada,672.7691,31 a 50 años,0,1574.6786,589.5700,"q1"
2017-06-01,Azúcar sulfitada,546.8919,51 a 70 años,0,1280.0514,589.5700,"q1"
2017-06-01,Azúcar sulfitada,510.2502,>70 años,0,1194.2879,589.5700,"q1"
2017-06-01,Arveja verde seca importada,272.4881,1 a 3 años,1, 664.2990,651.8451,"q2"
2017-06-01,Arveja verde seca importada,352.0246,4 a 8 años,1, 858.2010,651.8451,"q2"
2017-06-01,Arveja verde seca importada,484.2800,9 a 13 años,1,1180.6265,651.8451,"q2"
2017-06-01,Arveja verde seca importada,564.9573,14 a 18 años,1,1377.3100,651.8451,"q2"
2017-06-01,Arveja verde seca importada,543.2698,19 a 30 años,1,1324.4378,651.8451,"q2"
2017-06-01,Arveja verde seca importada,512.4295,31 a 50 años,1,1249.2524,651.8451,"q2"
2017-06-01,Arveja verde seca importada,465.5578,51 a 70 años,1,1134.9838,651.8451,"q2"
2017-06-01,Arveja verde seca importada,437.7214,>70 años,1,1067.1213,651.8451,"q2"
2017-06-01,Arveja verde seca importada,673.9030,gestantes < 18 años,1,1642.9087,651.8451,"q2"
2017-06-01,Arveja verde seca importada,670.2751,gestantes 19 a 30 años,1,1634.0643,651.8451,"q2"
2017-06-01,Arveja verde seca importada,639.4349,gestantes 31 a 50 años,1,1558.8788,651.8451,"q2"
2017-06-01,Arveja verde seca importada,681.9244,lactantes < 18 años,1,1662.4641,651.8451,"q2"
2017-06-01,Arveja verde seca importada,678.2965,lactantes 19 a 30 años,1,1653.6196,651.8451,"q2"
2017-06-01,Arveja verde seca importada,647.4563,lactantes 31 a 50 años,1,1578.4342,651.8451,"q2"
2017-06-01,Arveja verde seca importada,296.9556,1 a 3 años,0, 723.9482,651.8451,"q2"
2017-06-01,Arveja verde seca importada,384.0650,4 a 8 años,0, 936.3123,651.8451,"q2"
2017-06-01,Arveja verde seca importada,536.5261,9 a 13 años,0,1307.9973,651.8451,"q2"
2017-06-01,Arveja verde seca importada,734.4206,14 a 18 años,0,1790.4446,651.8451,"q2"
2017-06-01,Arveja verde seca importada,753.8853,19 a 30 años,0,1837.8976,651.8451,"q2"
2017-06-01,Arveja verde seca importada,714.1426,31 a 50 años,0,1741.0089,651.8451,"q2"
2017-06-01,Arveja verde seca importada,580.5243,51 a 70 años,0,1415.2608,651.8451,"q2"
2017-06-01,Arveja verde seca importada,541.6292,>70 años,0,1320.4383,651.8451,"q2"
2017-06-01,Arveja verde seca importada,272.4881,1 a 3 años,1, 687.7588,674.8651,"q3"
2017-06-01,Arveja verde seca importada,352.0246,4 a 8 años,1, 888.5084,674.8651,"q3"
2017-06-01,Arveja verde seca importada,484.2800,9 a 13 años,1,1222.3205,674.8651,"q3"
2017-06-01,Arveja verde seca importada,564.9573,14 a 18 años,1,1425.9498,674.8651,"q3"
2017-06-01,Arveja verde seca importada,543.2698,19 a 30 años,1,1371.2105,674.8651,"q3"
2017-06-01,Arveja verde seca importada,512.4295,31 a 50 años,1,1293.3699,674.8651,"q3"
2017-06-01,Arveja verde seca importada,465.5578,51 a 70 años,1,1175.0658,674.8651,"q3"
2017-06-01,Arveja verde seca importada,437.7214,>70 años,1,1104.8068,674.8651,"q3"
2017-06-01,Arveja verde seca importada,673.9030,gestantes < 18 años,1,1700.9282,674.8651,"q3"
2017-06-01,Arveja verde seca importada,670.2751,gestantes 19 a 30 años,1,1691.7714,674.8651,"q3"
2017-06-01,Arveja verde seca importada,639.4349,gestantes 31 a 50 años,1,1613.9308,674.8651,"q3"
2017-06-01,Arveja verde seca importada,681.9244,lactantes < 18 años,1,1721.1742,674.8651,"q3"
2017-06-01,Arveja verde seca importada,678.2965,lactantes 19 a 30 años,1,1712.0174,674.8651,"q3"
2017-06-01,Arveja verde seca importada,647.4563,lactantes 31 a 50 años,1,1634.1767,674.8651,"q3"
2017-06-01,Arveja verde seca importada,296.9556,1 a 3 años,0, 749.5145,674.8651,"q3"
2017-06-01,Arveja verde seca importada,384.0650,4 a 8 años,0, 969.3783,674.8651,"q3"
2017-06-01,Arveja verde seca importada,536.5261,9 a 13 años,0,1354.1894,674.8651,"q3"
2017-06-01,Arveja verde seca importada,734.4206,14 a 18 años,0,1853.6744,674.8651,"q3"
2017-06-01,Arveja verde seca importada,753.8853,19 a 30 años,0,1902.8032,674.8651,"q3"
2017-06-01,Arveja verde seca importada,714.1426,31 a 50 años,0,1802.4929,674.8651,"q3"
2017-06-01,Arveja verde seca importada,580.5243,51 a 70 años,0,1465.2409,674.8651,"q3"
2017-06-01,Arveja verde seca importada,541.6292,>70 años,0,1367.0697,674.8651,"q3"
2017-07-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 590.6536,579.5804,"q1"
2017-07-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 763.0592,579.5804,"q1"
2017-07-01,Azúcar sulfitada,456.2234,9 a 13 años,1,1049.7401,579.5804,"q1"
2017-07-01,Azúcar sulfitada,532.2268,14 a 18 años,1,1224.6188,579.5804,"q1"
2017-07-01,Azúcar sulfitada,511.7957,19 a 30 años,1,1177.6082,579.5804,"q1"
