"ciudad","tri_date","pm","pme","trimestre","n_deciles","afford_coca","afford_cona","afford_cord","gap_coca_pm","gap_cona_pm","gap_cord_pm","gap_coca_pme","gap_cona_pme","gap_cord_pme"
"BOGOTA",2023-10-01,22.8135122628413,4.73982483256054,"2023Q4",10,2.13333333333333,7.37777777777778,17.1111111111111,-20.6801789295079,-15.4357344850635,-5.70240115173016,-2.6064914992272,2.63795294521724,12.3712862785506
"BOGOTA",2024-01-01,20.7129963898917,4.9187725631769,"2024Q1",10,1.48148148148148,5.63786008230453,15.5555555555556,-19.2315149084102,-15.0751363075872,-5.15744083433614,-3.43729108169541,0.719087519127632,10.6367829923787
"BOGOTA",2024-04-01,19.7519929140833,3.94154118689105,"2024Q2",10,1.14285714285714,4.85714285714286,15.1836734693878,-18.6091357712261,-14.8948500569404,-4.5683194446955,-2.79868404403391,0.915601670251803,11.2421322824967
"BOGOTA",2024-07-01,19.3815331010453,3.65853658536585,"2024Q3",10,1.83266932270916,5.0597609561753,16.0557768924303,-17.5488637783361,-14.32177214487,-3.32575620861502,-1.82586726265669,1.40122437080945,12.3972403070644
"BOGOTA",2024-10-01,16.6291122127084,3.24470482199189,"2024Q4",10,0.954356846473029,4.35684647302905,13.8955739972337,-15.6747553662354,-12.2722657396794,-2.73353821547468,-2.29034797551886,1.11214165103716,10.6508691752419
"CALI",2018-01-01,12.0689655172414,1.71127687582273,"2018Q1",10,0.901287553648069,4.29184549356223,14.0737383454196,-11.1676779635933,-7.77712002367915,2.00477282817819,-0.809989322174661,2.5805686177395,12.3624614695968
"CALI",2018-04-01,14.0397350993377,2.72357723577236,"2018Q2",10,1.1864406779661,4.40677966101695,12.1610169491525,-12.8532944213716,-9.6329554383208,-1.87871815018521,-1.53713655780626,1.68320242524459,9.43743971338019
"CALI",2018-07-01,17.2919361793877,4.26579163248564,"2018Q3",10,1.68032786885246,6.0655737704918,14.4262295081967,-15.6116083105352,-11.2263624088959,-2.86570667119095,-2.58546376363318,1.79978213800616,10.1604378757111
"CALI",2018-10-01,13.3979015334948,3.67231638418079,"2018Q4",10,1.47186147186147,4.80519480519481,14.978354978355,-11.9260400616333,-8.59270672829995,1.58045344486022,-2.20045491231932,1.13287842101401,11.3060385941742
"CALI",2019-01-01,21.7621145374449,4.44247001332741,"2019Q1",10,1.81818181818182,5.99173553719008,15.5371900826446,-19.9439327192631,-15.7703790002549,-6.22492445480031,-2.62428819514559,1.54926552386267,11.0947200693172
"CALI",2019-04-01,19.2033542976939,3.88888888888889,"2019Q2",10,1.41666666666667,4.75,14.5181311018131,-17.7866876310273,-14.4533542976939,-4.68522319588081,-2.47222222222222,0.861111111111111,10.6292422129242
"CALI",2019-07-01,19.0456934896886,2.7363184079602,"2019Q3",10,1.23456790123457,4.23868312757202,15.1028806584362,-17.8111255884541,-14.8070103621166,-3.94281283125242,-1.50175050672563,1.50236471961182,12.366562250476
"CALI",2019-10-01,19.2340425531915,5.14893617021277,"2019Q4",10,1.99152542372881,5.25423728813559,14.1667868734223,-17.2425171294627,-13.9798052650559,-5.0672556797692,-3.15741074648395,0.105301117922828,9.01785070320952
"CALI",2020-01-01,23.4965635738832,5.28350515463918,"2020Q1",10,2.8110599078341,6.45161290322581,15.4838709677419,-20.6855036660491,-17.0449506706574,-8.01269260614123,-2.47244524680507,1.16810774858663,10.2003658131028
"CALI",2020-04-01,50.2029220779221,25.5733944954128,"2020Q2",10,9.62255788391306,19.5362195511116,29.6206077367656,-40.580364194009,-30.6667025268105,-20.5823143411565,-15.9508366114998,-6.03717494430126,4.04721324135275
"CALI",2020-07-01,32.2705730288669,10.8573890564412,"2020Q3",10,4.08071748878924,12.914798206278,22.2869955156951,-28.1898555400776,-19.3557748225888,-9.9835775131718,-6.77667156765195,2.05740914983684,11.4296064592539
"CALI",2020-10-01,25.2679307502061,5.76836412798558,"2020Q4",10,2.16666666666667,8.04166666666667,17.7555788005579,-23.1012640835394,-17.2262640835394,-7.51235194964822,-3.60169746131891,2.27330253868109,11.9872146725723
"CALI",2021-01-01,26.1800699300699,7.29613733905579,"2021Q1",10,1.82978723404255,6.68085106382979,14.8936170212766,-24.3502826960274,-19.4992188662401,-11.2864529087933,-5.46635010501324,-0.615286275226007,7.5974796822208
"CALI",2021-04-01,29.8042704626335,9.78260869565217,"2021Q2",10,2.43243243243243,9.95495495495495,22.1001997472586,-27.371838030201,-19.8493155076785,-7.70407071537488,-7.35017626321974,0.172346259302781,12.3175910516064
"CALI",2021-07-01,24.5337159253945,5.54272517321016,"2021Q3",10,1.6289592760181,6.65158371040724,17.1945701357466,-22.9047566493764,-17.8821322149873,-7.33914578964794,-3.91376589719206,1.10885853719708,11.6518449625364
"CALI",2021-10-01,23.8095238095238,5.23809523809524,"2021Q4",10,1.95348837209302,7.30232558139535,17.0697674418605,-21.8560354374308,-16.5071982281285,-6.73975636766334,-3.28460686600221,2.06423034330011,11.8316722037652
"CALI",2022-01-01,26.6997708174179,8.6707410236822,"2022Q1",10,2.12014134275618,8.09187279151944,20.2826855123675,-24.5796294746617,-18.6078980258984,-6.41708530505039,-6.55059968092602,-0.578868232162765,11.6119444886853
"CALI",2022-04-01,22.1735959153902,4.9598832968636,"2022Q2",10,1.37931034482759,6.45340651473571,20.8132681064312,-20.7942855705626,-15.7201894006545,-1.36032780895901,-3.58057295203602,1.49352321787211,15.8533848095676
"CALI",2022-07-01,22.1917808219178,6.10567514677104,"2022Q3",10,1.89285714285714,7.25,19.5357142857143,-20.2989236790607,-14.9417808219178,-2.65606653620353,-4.21281800391389,1.14432485322896,13.4300391389432
