alimento_sipsa,lag,RMSE_test_dy,n_test
Pastas alimenticias,6,0.023700246449251946,7
Pastas alimenticias,1,0.02530783600809649,7
Pastas alimenticias,2,0.02533400673764405,7
Pastas alimenticias,3,0.02587168325412226,7
Pastas alimenticias,5,0.026762172303846973,7
Pastas alimenticias,4,0.02739170286203756,7
Pechuga de pollo,1,0.042207456384524326,7
Pechuga de pollo,2,0.048294652809867944,7
Pechuga de pollo,4,0.05843762312627166,7
Pechuga de pollo,3,0.05881418241584506,7
Pechuga de pollo,6,0.07998178986899747,7
Pechuga de pollo,5,0.08175681348329242,7
Piña gold,1,0.02186590341614074,7
Piña gold,2,0.022822814525560474,7
Piña gold,3,0.02286995785612697,7
Piña gold,4,0.03058849164499738,7
Piña gold,5,0.08196590744339803,7
Piña gold,6,0.10210798507624928,7
Piña manzana,1,0.08495184759107928,7
Piña manzana,2,0.09815032935050863,7
Piña manzana,3,0.11811364052039593,7
Piña manzana,4,0.1450079673138748,7
Piña manzana,5,0.1455263567140962,7
Piña manzana,6,0.1806438507695291,7
Pollo entero congelado sin vísceras,1,0.01655689891693722,7
Pollo entero congelado sin vísceras,4,0.01948757068468561,7
Pollo entero congelado sin vísceras,2,0.020853931945690195,7
Pollo entero congelado sin vísceras,3,0.021094206559839568,7
Pollo entero congelado sin vísceras,5,0.02227801349382324,7
Pollo entero congelado sin vísceras,6,0.0234166155843496,7
Queso campesino,3,0.014232637051209635,7
Queso campesino,2,0.017286431806952284,7
Queso campesino,4,0.022500273446472447,7
Queso campesino,5,0.022558161552903234,7
Queso campesino,6,0.032513113582071075,7
Queso campesino,1,0.03817395889768432,7
Repollo blanco,1,0.07931505640025499,7
Repollo blanco,4,0.11324929374007835,7
Repollo blanco,2,0.1286804301101027,7
Repollo blanco,3,0.1397657892348671,7
Repollo blanco,6,0.2943616608822092,7
Repollo blanco,5,0.3104954097016051,7
Sal yodada,5,0.010462905706420935,7
Sal yodada,6,0.01056490496400535,7
Sal yodada,4,0.010758538985121377,7
Sal yodada,2,0.01079823134393995,7
Sal yodada,3,0.011364511119785693,7
Sal yodada,1,0.015292256403034943,7
Tilapia roja entera congelada,2,0.02782281976783873,7
Tilapia roja entera congelada,3,0.03022709796192637,7
Tilapia roja entera congelada,1,0.038011794563035585,7
Tilapia roja entera congelada,4,0.03973162723384046,7
Tilapia roja entera congelada,5,0.060657513467090404,7
Tilapia roja entera congelada,6,0.13888725049804737,7
Tomate de árbol,3,0.07425072399332353,7
Tomate de árbol,6,0.07709010451635429,7
Tomate de árbol,5,0.07966442135655967,7
Tomate de árbol,4,0.10492389890782808,7
Tomate de árbol,2,0.1055810517184288,7
Tomate de árbol,1,0.12110177686697285,7
Tomate larga vida,1,0.16603329674929376,7
Tomate larga vida,2,0.18181279058710456,7
Tomate larga vida,4,0.18198076726600054,7
Tomate larga vida,6,0.1874388564363753,7
Tomate larga vida,3,0.20922167093849417,7
Tomate larga vida,5,0.22173436792863016,7
Zanahoria,4,0.21754834939578455,7
Zanahoria,3,0.2315004952397384,7
Zanahoria,1,0.25148126889550343,7
Zanahoria,2,0.25459102245105647,7
Zanahoria,5,0.3802211444988939,7
Zanahoria,6,0.5352072773863595,7
