ciudad,articulo,codigo_articulo,subclase_ipc,method,ipc_last_date,issue
CALI,PESCADO DE MAR,1610101,011303,gasto_basico,2025-06-01,NA
CALI,PESCADO DE RÍO,1610102,011303,gasto_basico,2025-06-01,NA
CALI,PESCADO ENLATADO,1610103,011303,gasto_basico,2025-06-01,NA
CALI,PIÑAS,1410507,011609,gasto_basico,2025-06-01,NA
CALI,PLÁTANO,1220101,011704,gasto_basico,2025-06-01,NA
CALI,POLLO DESPRESADO POR LIBRA,1510302,011203,gasto_basico,2025-06-01,NA
CALI,POLLO ENTERO POR LIBRA,1510301,011203,gasto_basico,2025-06-01,NA
CALI,QUESO CAMPESINO,1720201,011402,gasto_basico,2025-06-01,NA
CALI,REPOLLO,1310503,011716,gasto_basico,2025-06-01,NA
CALI,TOMATE,1310201,011713,gasto_basico,2025-06-01,NA
CALI,TOMATE DE ÁRBOL,1410301,011607,gasto_basico,2025-06-01,NA
CALI,YUCA,1210201,011706,gasto_basico,2025-06-01,NA
CALI,ZANAHORIA,1310301,011715,gasto_basico,2025-06-01,NA
MEDELLIN,ACEITE DE GIRASOL,1730102,011501,gasto_basico,2025-06-01,NA
MEDELLIN,ACEITE DE SOYA O DE MAÍZ,1730101,011501,gasto_basico,2025-06-01,NA
MEDELLIN,AGUACATE,1410503,011609,gasto_basico,2025-06-01,NA
MEDELLIN,ARRACACHA,1210303,011712,gasto_basico,2025-06-01,NA
MEDELLIN,ARROZ INTEGRAL,1110103,011101,gasto_basico,2025-06-01,NA
MEDELLIN,ARROZ PARA SECO,1110101,011101,gasto_basico,2025-06-01,NA
MEDELLIN,ARVEJA FRESCA,1320201,011716,gasto_basico,2025-06-01,NA
MEDELLIN,ARVEJA SECA,1320202,011716,gasto_basico,2025-06-01,NA
MEDELLIN,ARVEJA TARRO,1320402,011703,gasto_basico,2025-06-01,NA
MEDELLIN,AVENA HOJUELAS,1110501,011103,producto,2025-06-01,NA
MEDELLIN,AVENA MOLIDA,1110502,011103,producto,2025-06-01,NA
MEDELLIN,BANANOS,1410201,011606,gasto_basico,2025-06-01,NA
MEDELLIN,CARNE DE CERDO CON HUESO,1510202,011202,gasto_basico,2025-06-01,NA
MEDELLIN,CARNE DE CERDO SIN HUESO,1510201,011202,gasto_basico,2025-06-01,NA
MEDELLIN,CARNE DE RES CON HUESO,1510102,011201,gasto_basico,2025-06-01,NA
MEDELLIN,CARNE DE RES SIN HUESO,1510101,011201,gasto_basico,2025-06-01,NA
MEDELLIN,CEBOLLA CABEZONA,1310102,011714,gasto_basico,2025-06-01,NA
MEDELLIN,CEBOLLA LARGA,1310101,011714,gasto_basico,2025-06-01,NA
MEDELLIN,FRÍJOL FRESCO,1320101,011716,gasto_basico,2025-06-01,NA
MEDELLIN,FRÍJOL SECO,1320102,011716,gasto_basico,2025-06-01,NA
MEDELLIN,FRÍJOL TARRO,1320401,011703,gasto_basico,2025-06-01,NA
MEDELLIN,GUAYABAS,1410501,011609,gasto_basico,2025-06-01,NA
MEDELLIN,HABICHUELAS FRESCAS,1310501,011716,gasto_basico,2025-06-01,NA
MEDELLIN,HUEVOS,1710101,011405,gasto_basico,2025-06-01,NA
MEDELLIN,LECHE EN POLVO ENTERA,1720103,011401,gasto_basico,2025-06-01,NA
MEDELLIN,LECHE EN POLVO LACTANTE,1720104,011401,gasto_basico,2025-06-01,NA
MEDELLIN,LECHE LARGA VIDA,1720102,011401,gasto_basico,2025-06-01,NA
MEDELLIN,LECHE PASTEURIZADA,1720101,011401,gasto_basico,2025-06-01,NA
MEDELLIN,LECHUGA,1310504,011716,gasto_basico,2025-06-01,NA
MEDELLIN,LENTEJAS,1320301,011702,gasto_basico,2025-06-01,NA
