Demo_Group,Sex,cost_day,Cost_1000kcal,ciudad,fecha,escenario
19 a 30 años,0,3500.2393687581343,1241.4260880925935,BOGOTÁ D.C.,2013-11-01,q3
31 a 50 años,0,3516.33438706663,1316.5386201361816,BOGOTÁ D.C.,2013-11-01,q3
4 a 8 años,0,2526.3688931386246,1758.8161863212574,BOGOTÁ D.C.,2013-11-01,q3
51 a 70 años,0,3372.6409005709015,1553.381289702929,BOGOTÁ D.C.,2013-11-01,q3
9 a 13 años,0,3337.539551395018,1663.2747873754838,BOGOTÁ D.C.,2013-11-01,q3
>70 años,0,3146.67396023265,1553.3812897029286,BOGOTÁ D.C.,2013-11-01,q3
1 a 3 años,1,1544.771526417359,1515.8111952012282,BOGOTÁ D.C.,2013-12-01,q3
14 a 18 años,1,3536.9898810824666,1673.965698513692,BOGOTÁ D.C.,2013-12-01,q3
19 a 30 años,1,3539.159956314005,1741.8592334644327,BOGOTÁ D.C.,2013-12-01,q3
31 a 50 años,1,3577.0056063496622,1866.4393165395163,BOGOTÁ D.C.,2013-12-01,q3
4 a 8 años,1,2551.225684397734,1937.7793027148605,BOGOTÁ D.C.,2013-12-01,q3
51 a 70 años,1,3299.8937706043644,1895.198683491946,BOGOTÁ D.C.,2013-12-01,q3
9 a 13 años,1,3344.4821537931953,1846.5487540974154,BOGOTÁ D.C.,2013-12-01,q3
>70 años,1,3152.155580634969,1925.4768047455918,BOGOTÁ D.C.,2013-12-01,q3
gestantes 19 a 30 años,1,4114.899926623764,1641.4761701904165,BOGOTÁ D.C.,2013-12-01,q3
gestantes 31 a 50 años,1,4452.267508587678,1861.7155710824209,BOGOTÁ D.C.,2013-12-01,q3
gestantes < 18 años,1,6098.887094500464,2419.8118369401495,BOGOTÁ D.C.,2013-12-01,q3
lactantes 19 a 30 años,1,3736.4066151661427,1472.8650375896045,BOGOTÁ D.C.,2013-12-01,q3
lactantes 31 a 50 años,1,3752.0876215114904,1549.4976921984132,BOGOTÁ D.C.,2013-12-01,q3
lactantes < 18 años,1,3793.4696974183285,1487.403462497636,BOGOTÁ D.C.,2013-12-01,q3
1 a 3 años,0,1978.9244714420788,1781.8294995207739,BOGOTÁ D.C.,2013-12-01,q3
14 a 18 años,0,3485.964874661694,1269.131288041826,BOGOTÁ D.C.,2013-12-01,q3
19 a 30 años,0,3492.276239571764,1238.6018137292165,BOGOTÁ D.C.,2013-12-01,q3
31 a 50 años,0,3507.356996969903,1313.1774264983435,BOGOTÁ D.C.,2013-12-01,q3
4 a 8 años,0,2522.4111061539516,1756.0608405642472,BOGOTÁ D.C.,2013-12-01,q3
51 a 70 años,0,3366.951186365654,1550.7607036844042,BOGOTÁ D.C.,2013-12-01,q3
9 a 13 años,0,3333.533809909469,1661.2785117615908,BOGOTÁ D.C.,2013-12-01,q3
>70 años,0,3141.365456879155,1550.7607036844038,BOGOTÁ D.C.,2013-12-01,q3
1 a 3 años,1,1623.457792264778,1593.0223041838767,BOGOTÁ D.C.,2014-01-01,q3
14 a 18 años,1,3752.7324263595474,1776.071057206968,BOGOTÁ D.C.,2014-01-01,q3
19 a 30 años,1,3769.2377793317473,1855.0960425900053,BOGOTÁ D.C.,2014-01-01,q3
31 a 50 años,1,3802.777241665019,1984.2442917297278,BOGOTÁ D.C.,2014-01-01,q3
4 a 8 años,1,2677.6342077418544,2033.7926902094673,BOGOTÁ D.C.,2014-01-01,q3
51 a 70 años,1,3522.0501181023583,2022.787765618431,BOGOTÁ D.C.,2014-01-01,q3
