Demo_Group,Sex,cost_day,Cost_1000kcal,ciudad,fecha,escenario
lactantes < 18 años,1,3449.860772684852,1352.6758529051149,BOGOTÁ D.C.,2013-04-01,q1
1 a 3 años,0,1829.6829198701969,1647.451961124149,BOGOTÁ D.C.,2013-04-01,q1
14 a 18 años,0,3223.880787475867,1173.7146309308569,BOGOTÁ D.C.,2013-04-01,q1
19 a 30 años,0,3100.648124629317,1099.7034963568915,BOGOTÁ D.C.,2013-04-01,q1
31 a 50 años,0,3143.8720110597133,1177.0862676053755,BOGOTÁ D.C.,2013-04-01,q1
4 a 8 años,0,2352.263530043236,1637.6069157473885,BOGOTÁ D.C.,2013-04-01,q1
51 a 70 años,0,3149.300487459523,1450.5144772584244,BOGOTÁ D.C.,2013-04-01,q1
9 a 13 años,0,3118.4065656015,1554.0690791763227,BOGOTÁ D.C.,2013-04-01,q1
>70 años,0,2938.2973547997344,1450.5144772584242,BOGOTÁ D.C.,2013-04-01,q1
1 a 3 años,1,1515.1058659186122,1486.7016864299544,BOGOTÁ D.C.,2013-04-01,q2
14 a 18 años,1,3494.2321238573104,1653.729559494552,BOGOTÁ D.C.,2013-04-01,q2
19 a 30 años,1,3443.198394623834,1694.6300789889046,BOGOTÁ D.C.,2013-04-01,q2
31 a 50 años,1,3488.2246716305117,1820.1144724219528,BOGOTÁ D.C.,2013-04-01,q2
4 a 8 años,1,2507.0180570551283,1904.2014715520002,BOGOTÁ D.C.,2013-04-01,q2
51 a 70 años,1,3262.0843981786306,1873.483962404312,BOGOTÁ D.C.,2013-04-01,q2
9 a 13 años,1,3302.452188979438,1823.3432545326002,BOGOTÁ D.C.,2013-04-01,q2
>70 años,1,3120.823844397128,1906.337986931068,BOGOTÁ D.C.,2013-04-01,q2
gestantes 19 a 30 años,1,4059.4267668573016,1619.3473526087469,BOGOTÁ D.C.,2013-04-01,q2
gestantes 31 a 50 años,1,4407.238307514311,1842.8866115396522,BOGOTÁ D.C.,2013-04-01,q2
gestantes < 18 años,1,5877.243592487338,2331.871928979309,BOGOTÁ D.C.,2013-04-01,q2
lactantes 19 a 30 años,1,3603.402856267038,1420.435897367738,BOGOTÁ D.C.,2013-04-01,q2
lactantes 31 a 50 años,1,3620.435296202071,1495.1292992344313,BOGOTÁ D.C.,2013-04-01,q2
lactantes < 18 años,1,3710.225650948167,1454.7638231093724,BOGOTÁ D.C.,2013-04-01,q2
1 a 3 años,0,1923.4853285350268,1731.911929806993,BOGOTÁ D.C.,2013-04-01,q2
14 a 18 años,0,3436.435660198388,1251.0992429670266,BOGOTÁ D.C.,2013-04-01,q2
19 a 30 años,0,3358.986159352665,1191.3279660186065,BOGOTÁ D.C.,2013-04-01,q2
31 a 50 años,0,3401.0730385016195,1273.3840164800024,BOGOTÁ D.C.,2013-04-01,q2
4 a 8 años,0,2474.491886718567,1722.700273542587,BOGOTÁ D.C.,2013-04-01,q2
51 a 70 años,0,3351.8850156594517,1543.8214805727916,BOGOTÁ D.C.,2013-04-01,q2
9 a 13 años,0,3279.4795214222777,1634.3403635215009,BOGOTÁ D.C.,2013-04-01,q2
>70 años,0,3127.3087196102683,1543.8214805727916,BOGOTÁ D.C.,2013-04-01,q2
1 a 3 años,1,1567.9605129483539,1538.5654503046812,BOGOTÁ D.C.,2013-04-01,q3
14 a 18 años,1,3663.458424225481,1733.819984298879,BOGOTÁ D.C.,2013-04-01,q3
19 a 30 años,1,3691.301714750038,1816.7384505661423,BOGOTÁ D.C.,2013-04-01,q3
31 a 50 años,1,3726.8948318404778,1944.6497456997004,BOGOTÁ D.C.,2013-04-01,q3
4 a 8 años,1,2610.01585607347,1982.4332816132246,BOGOTÁ D.C.,2013-04-01,q3
51 a 70 años,1,3431.5721633644343,1970.8243653929142,BOGOTÁ D.C.,2013-04-01,q3
9 a 13 años,1,3438.0231105828007,1898.1943988560604,BOGOTÁ D.C.,2013-04-01,q3
>70 años,1,3271.443759750174,1998.343329284316,BOGOTÁ D.C.,2013-04-01,q3
gestantes 19 a 30 años,1,4300.248420650349,1715.4136028255443,BOGOTÁ D.C.,2013-04-01,q3
gestantes 31 a 50 años,1,4691.093119171987,1961.580495447523,BOGOTÁ D.C.,2013-04-01,q3
gestantes < 18 años,1,6263.398067203949,2485.083679636398,BOGOTÁ D.C.,2013-04-01,q3
lactantes 19 a 30 años,1,3938.635810841603,1552.5823549394831,BOGOTÁ D.C.,2013-04-01,q3
lactantes 31 a 50 años,1,3955.050543292075,1633.3151854512332,BOGOTÁ D.C.,2013-04-01,q3
lactantes < 18 años,1,3971.0008316660596,1557.0126711754476,BOGOTÁ D.C.,2013-04-01,q3
1 a 3 años,0,2016.0024561523337,1815.2146276004648,BOGOTÁ D.C.,2013-04-01,q3
14 a 18 años,0,3628.9930152407496,1321.203381365955,BOGOTÁ D.C.,2013-04-01,q3
19 a 30 años,0,3641.8411383299353,1291.647833620824,BOGOTÁ D.C.,2013-04-01,q3
31 a 50 años,0,3677.09343047296,1376.7278586676994,BOGOTÁ D.C.,2013-04-01,q3
4 a 8 años,0,2574.0595013638663,1792.0175980033976,BOGOTÁ D.C.,2013-04-01,q3
51 a 70 años,0,3551.4937854610107,1635.757899958315,BOGOTÁ D.C.,2013-04-01,q3
9 a 13 años,0,3423.7881003130883,1706.2570605902888,BOGOTÁ D.C.,2013-04-01,q3
>70 años,0,3313.5437018351217,1635.7578999583145,BOGOTÁ D.C.,2013-04-01,q3
1 a 3 años,1,1446.6788381898818,1419.5574823118193,BOGOTÁ D.C.,2013-05-01,q1
14 a 18 años,1,3309.8598582246254,1566.4709416296303,BOGOTÁ D.C.,2013-05-01,q1
19 a 30 años,1,3203.260349212973,1576.5403896232172,BOGOTÁ D.C.,2013-05-01,q1
31 a 50 años,1,3256.1645772018783,1699.028253470915,BOGOTÁ D.C.,2013-05-01,q1
4 a 8 años,1,2385.4650969068853,1811.8761191544338,BOGOTÁ D.C.,2013-05-01,q1
51 a 70 años,1,3081.8126750051015,1769.950104595984,BOGOTÁ D.C.,2013-05-01,q1
9 a 13 años,1,3148.025335276127,1738.0814109373332,BOGOTÁ D.C.,2013-05-01,q1
