"fecha","cona_cost.Demo_Group","cona_cost.Sex","cona_cost.cost_day","cona_cost.Cost_1000kcal","scenario"
2013-08-01,4 a 8 años,1,1893.2918,1438.0467,"hat"
2013-08-01,51 a 70 años,1,2412.9826,1385.8269,"hat"
2013-08-01,9 a 13 años,1,2523.7331,1393.3985,"hat"
2013-08-01,>70 años,1,2382.3564,1455.2493,"hat"
2013-08-01,gestantes 19 a 30 años,1,3411.7309,1360.9748,"hat"
2013-08-01,gestantes 31 a 50 años,1,3647.7689,1525.3145,"hat"
2013-08-01,gestantes < 18 años,1,5578.4515,2213.3223,"hat"
2013-08-01,lactantes 19 a 30 años,1,2611.8763,1029.5831,"hat"
2013-08-01,lactantes 31 a 50 años,1,2566.4025,1059.8459,"hat"
2013-08-01,lactantes < 18 años,1,2998.2737,1175.6105,"hat"
2013-08-01,1 a 3 años,0,1503.6937,1353.9303,"hat"
2013-08-01,14 a 18 años,0,2965.7708,1079.7448,"hat"
2013-08-01,19 a 30 años,0,2675.8594, 949.0442,"hat"
2013-08-01,31 a 50 años,0,2543.2345, 952.2037,"hat"
2013-08-01,4 a 8 años,0,1994.8648,1388.7918,"hat"
2013-08-01,51 a 70 años,0,2618.9497,1206.2439,"hat"
2013-08-01,9 a 13 años,0,2582.2064,1286.8518,"hat"
2013-08-01,>70 años,0,2443.4801,1206.2439,"hat"
2013-09-01,1 a 3 años,1,1409.5058,1383.0813,"hat"
2013-09-01,14 a 18 años,1,2738.7443,1296.1768,"hat"
2013-09-01,19 a 30 años,1,2231.0318,1098.0412,"hat"
2013-09-01,31 a 50 años,1,2192.3303,1143.9321,"hat"
2013-09-01,4 a 8 años,1,1904.5007,1446.5604,"hat"
2013-09-01,51 a 70 años,1,2441.3943,1402.1443,"hat"
2013-09-01,9 a 13 años,1,2541.9465,1403.4544,"hat"
2013-09-01,>70 años,1,2413.0025,1473.9692,"hat"
2013-09-01,gestantes 19 a 30 años,1,3416.8668,1363.0235,"hat"
2013-09-01,gestantes 31 a 50 años,1,3643.7346,1523.6275,"hat"
2013-09-01,gestantes < 18 años,1,5586.9370,2216.6891,"hat"
2013-09-01,lactantes 19 a 30 años,1,2638.2351,1039.9736,"hat"
2013-09-01,lactantes 31 a 50 años,1,2593.3507,1070.9747,"hat"
2013-09-01,lactantes < 18 años,1,3025.7318,1186.3767,"hat"
2013-09-01,1 a 3 años,0,1510.6504,1360.1941,"hat"
2013-09-01,14 a 18 años,0,2985.3365,1086.8681,"hat"
2013-09-01,19 a 30 años,0,2693.9898, 955.4744,"hat"
2013-09-01,31 a 50 años,0,2562.1698, 959.2931,"hat"
2013-09-01,4 a 8 años,0,2004.7754,1395.6914,"hat"
2013-09-01,51 a 70 años,0,2647.8418,1219.5511,"hat"
2013-09-01,9 a 13 años,0,2597.4893,1294.4681,"hat"
2013-09-01,>70 años,0,2470.4364,1219.5511,"hat"
2013-10-01,1 a 3 años,1,1403.4410,1377.1302,"hat"
2013-10-01,14 a 18 años,1,2701.7296,1278.6586,"hat"
2013-10-01,19 a 30 años,1,2183.3682,1074.5827,"hat"
2013-10-01,31 a 50 años,1,2148.3549,1120.9862,"hat"
2013-10-01,4 a 8 años,1,1898.7642,1442.2032,"hat"
2013-10-01,51 a 70 años,1,2404.8081,1381.1321,"hat"
2013-10-01,9 a 13 años,1,2518.0160,1390.2419,"hat"
2013-10-01,>70 años,1,2377.8253,1452.4814,"hat"
2013-10-01,gestantes 19 a 30 años,1,3367.6117,1343.3751,"hat"
2013-10-01,gestantes 31 a 50 años,1,3579.6486,1496.8300,"hat"
2013-10-01,gestantes < 18 años,1,5460.2326,2166.4174,"hat"
2013-10-01,lactantes 19 a 30 años,1,2573.8647,1014.5993,"hat"
2013-10-01,lactantes 31 a 50 años,1,2513.2569,1037.8984,"hat"
2013-10-01,lactantes < 18 años,1,2980.1346,1168.4982,"hat"
2013-10-01,1 a 3 años,0,1500.9633,1351.4718,"hat"
2013-10-01,14 a 18 años,0,2934.9291,1068.5163,"hat"
2013-10-01,19 a 30 años,0,2652.3715, 940.7137,"hat"
2013-10-01,31 a 50 años,0,2520.1110, 943.5461,"hat"
2013-10-01,4 a 8 años,0,2001.1319,1393.1549,"hat"
2013-10-01,51 a 70 años,0,2594.7583,1195.1017,"hat"
2013-10-01,9 a 13 años,0,2577.5289,1284.5208,"hat"
2013-10-01,>70 años,0,2420.9095,1195.1017,"hat"
2013-11-01,1 a 3 años,1,1403.2611,1376.9537,"hat"
2013-11-01,14 a 18 años,1,2684.2586,1270.3901,"hat"
2013-11-01,19 a 30 años,1,2166.8497,1066.4528,"hat"
2013-11-01,31 a 50 años,1,2133.3696,1113.1671,"hat"
2013-11-01,4 a 8 años,1,1898.1743,1441.7552,"hat"
2013-11-01,51 a 70 años,1,2392.3849,1373.9972,"hat"
2013-11-01,9 a 13 años,1,2511.7190,1386.7652,"hat"
2013-11-01,>70 años,1,2363.9795,1444.0238,"hat"
2013-11-01,gestantes 19 a 30 años,1,3356.7878,1339.0574,"hat"
2013-11-01,gestantes 31 a 50 años,1,3571.6757,1493.4961,"hat"
2013-11-01,gestantes < 18 años,1,5463.2556,2167.6169,"hat"
2013-11-01,lactantes 19 a 30 años,1,2546.3419,1003.7499,"hat"
2013-11-01,lactantes 31 a 50 años,1,2487.5849,1027.2967,"hat"
2013-11-01,lactantes < 18 años,1,2958.1117,1159.8631,"hat"
2013-11-01,1 a 3 años,0,1501.0251,1351.5275,"hat"
2013-11-01,14 a 18 años,0,2914.4974,1061.0778,"hat"
2013-11-01,19 a 30 años,0,2622.7725, 930.2159,"hat"
2013-11-01,31 a 50 años,0,2492.8260, 933.3304,"hat"
2013-11-01,4 a 8 años,0,1999.5022,1392.0203,"hat"
2013-11-01,51 a 70 años,0,2578.1958,1187.4733,"hat"
2013-11-01,9 a 13 años,0,2570.3249,1280.9306,"hat"
2013-11-01,>70 años,0,2405.4567,1187.4733,"hat"
2013-12-01,1 a 3 años,1,1399.2351,1373.0031,"hat"
2013-12-01,14 a 18 años,1,2674.3743,1265.7121,"hat"
2013-12-01,19 a 30 años,1,2156.5783,1061.3976,"hat"
2013-12-01,31 a 50 años,1,2118.7393,1105.5331,"hat"
2013-12-01,4 a 8 años,1,1888.4501,1434.3692,"hat"
2013-12-01,51 a 70 años,1,2371.6323,1362.0785,"hat"
2013-12-01,9 a 13 años,1,2502.9628,1381.9308,"hat"
2013-12-01,>70 años,1,2349.3463,1435.0852,"hat"
2013-12-01,gestantes 19 a 30 años,1,3342.6698,1333.4256,"hat"
2013-12-01,gestantes 31 a 50 años,1,3606.0634,1507.8754,"hat"
2013-12-01,gestantes < 18 años,1,5544.0202,2199.6613,"hat"
2013-12-01,lactantes 19 a 30 años,1,2510.1385, 989.4788,"hat"
2013-12-01,lactantes 31 a 50 años,1,2464.7855,1017.8812,"hat"
2013-12-01,lactantes < 18 años,1,2915.9758,1143.3418,"hat"
2013-12-01,1 a 3 años,0,1497.6436,1348.4827,"hat"
2013-12-01,14 a 18 años,0,2895.5270,1054.1713,"hat"
2013-12-01,19 a 30 años,0,2590.6624, 918.8274,"hat"
2013-12-01,31 a 50 años,0,2459.9670, 921.0277,"hat"
2013-12-01,4 a 8 años,0,1989.2099,1384.8550,"hat"
2013-12-01,51 a 70 años,0,2556.0890,1177.2913,"hat"
2013-12-01,9 a 13 años,0,2556.2151,1273.8989,"hat"
2013-12-01,>70 años,0,2384.8310,1177.2913,"hat"
2014-01-01,1 a 3 años,1,1411.9511,1385.4808,"hat"
2014-01-01,14 a 18 años,1,2693.2444,1274.6428,"hat"
2014-01-01,19 a 30 años,1,2183.1173,1074.4592,"hat"
2014-01-01,31 a 50 años,1,2143.0938,1118.2411,"hat"
2014-01-01,4 a 8 años,1,1905.4765,1447.3016,"hat"
2014-01-01,51 a 70 años,1,2391.2370,1373.3379,"hat"
2014-01-01,9 a 13 años,1,2524.2928,1393.7074,"hat"
2014-01-01,>70 años,1,2369.0242,1447.1053,"hat"
2014-01-01,gestantes 19 a 30 años,1,3373.6930,1345.8010,"hat"
2014-01-01,gestantes 31 a 50 años,1,3633.4980,1519.3471,"hat"
2014-01-01,gestantes < 18 años,1,5630.1593,2233.8381,"hat"
2014-01-01,lactantes 19 a 30 años,1,2536.5789, 999.9014,"hat"
2014-01-01,lactantes 31 a 50 años,1,2495.0357,1030.3736,"hat"
2014-01-01,lactantes < 18 años,1,2942.4383,1153.7177,"hat"
2014-01-01,1 a 3 años,0,1511.3957,1360.8652,"hat"
2014-01-01,14 a 18 años,0,2917.5464,1062.1878,"hat"
2014-01-01,19 a 30 años,0,2621.6653, 929.8232,"hat"
2014-01-01,31 a 50 años,0,2485.0819, 930.4310,"hat"
2014-01-01,4 a 8 años,0,2007.7607,1397.7698,"hat"
2014-01-01,51 a 70 años,0,2579.0270,1187.8562,"hat"
2014-01-01,9 a 13 años,0,2576.8706,1284.1927,"hat"
2014-01-01,>70 años,0,2406.2322,1187.8562,"hat"
2014-02-01,1 a 3 años,1,1405.7919,1379.4370,"hat"
2014-02-01,14 a 18 años,1,2673.2587,1265.1841,"hat"
2014-02-01,19 a 30 años,1,2168.0599,1067.0485,"hat"
