"ciudad","trimestre","fecha","Demo_Group","Sex","person","cost_day","total_household","per_capita","per_capita_year","per_capita_month"
"CALI","2024Q2",2024-04-01,"31 a 50 años",0,1,11971.0239412172,28119.7722621511,9373.25742071703,3421238.95856172,281197.722621511
"CALI","2024Q2",2024-04-01,"31 a 50 años",1,2,8312.40791146551,28119.7722621511,9373.25742071703,3421238.95856172,281197.722621511
"CALI","2024Q2",2024-04-01,"9 a 13 años",1,3,7836.34040946838,28119.7722621511,9373.25742071703,3421238.95856172,281197.722621511
"CALI","2024Q3",2024-07-01,"31 a 50 años",0,1,12186.5057785028,28603.9979309887,9534.66597699623,3480153.08160362,286039.979309887
"CALI","2024Q3",2024-07-01,"31 a 50 años",1,2,8454.91214382488,28603.9979309887,9534.66597699623,3480153.08160362,286039.979309887
"CALI","2024Q3",2024-07-01,"9 a 13 años",1,3,7962.58000866102,28603.9979309887,9534.66597699623,3480153.08160362,286039.979309887
"CALI","2024Q4",2024-10-01,"31 a 50 años",0,1,11649.2612728634,27352.5521384962,9117.51737949872,3327893.84351703,273525.521384962
"CALI","2024Q4",2024-10-01,"31 a 50 años",1,2,8080.65652965325,27352.5521384962,9117.51737949872,3327893.84351703,273525.521384962
"CALI","2024Q4",2024-10-01,"9 a 13 años",1,3,7622.63433597955,27352.5521384962,9117.51737949872,3327893.84351703,273525.521384962
"CALI","2025Q1",2025-01-01,"31 a 50 años",0,1,11495.530930067,26995.9264465281,8998.6421488427,3284504.38432759,269959.264465281
"CALI","2025Q1",2025-01-01,"31 a 50 años",1,2,7973.53705750658,26995.9264465281,8998.6421488427,3284504.38432759,269959.264465281
"CALI","2025Q1",2025-01-01,"9 a 13 años",1,3,7526.85845895451,26995.9264465281,8998.6421488427,3284504.38432759,269959.264465281
"CALI","2025Q2",2025-04-01,"31 a 50 años",0,1,11705.032504973,27496.844547212,9165.61484907065,3345449.41991079,274968.44547212
"CALI","2025Q2",2025-04-01,"31 a 50 años",1,2,8124.76288640302,27496.844547212,9165.61484907065,3345449.41991079,274968.44547212
"CALI","2025Q2",2025-04-01,"9 a 13 años",1,3,7667.04915583593,27496.844547212,9165.61484907065,3345449.41991079,274968.44547212
"MEDELLIN","1999Q1",1999-01-01,"31 a 50 años",0,1,2401.67059692617,5643.23815858974,1881.07938619658,686593.975961751,56432.3815858973
"MEDELLIN","1999Q1",1999-01-01,"31 a 50 años",1,2,1666.55588740369,5643.23815858974,1881.07938619658,686593.975961751,56432.3815858973
"MEDELLIN","1999Q1",1999-01-01,"9 a 13 años",1,3,1575.01167425987,5643.23815858974,1881.07938619658,686593.975961751,56432.3815858973
"MEDELLIN","1999Q2",1999-04-01,"31 a 50 años",0,1,2457.72207233311,5766.12572667394,1922.04190889131,701545.296745329,57661.2572667394
"MEDELLIN","1999Q2",1999-04-01,"31 a 50 años",1,2,1700.27371903023,5766.12572667394,1922.04190889131,701545.296745329,57661.2572667394
"MEDELLIN","1999Q2",1999-04-01,"9 a 13 años",1,3,1608.12993531059,5766.12572667394,1922.04190889131,701545.296745329,57661.2572667394
"MEDELLIN","1999Q3",1999-07-01,"31 a 50 años",0,1,2381.67093936289,5597.10592639498,1865.70197546499,680981.221044722,55971.0592639498
"MEDELLIN","1999Q3",1999-07-01,"31 a 50 años",1,2,1653.76199812368,5597.10592639498,1865.70197546499,680981.221044722,55971.0592639498
"MEDELLIN","1999Q3",1999-07-01,"9 a 13 años",1,3,1561.67298890841,5597.10592639498,1865.70197546499,680981.221044722,55971.0592639498
"MEDELLIN","1999Q4",1999-10-01,"31 a 50 años",0,1,2479.12630088439,5825.94350310739,1941.98116770246,708823.126211399,58259.4350310739
"MEDELLIN","1999Q4",1999-10-01,"31 a 50 años",1,2,1720.57857746552,5825.94350310739,1941.98116770246,708823.126211399,58259.4350310739
"MEDELLIN","1999Q4",1999-10-01,"9 a 13 años",1,3,1626.23862475747,5825.94350310739,1941.98116770246,708823.126211399,58259.4350310739
