"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha","person"
"9 a 13 años",1,3,2270.96118216937,8138.8574567481,2712.9524855827,990227.657237685,81388.574567481,"BOGOTA",2003-08-01,3
"31 a 50 años",0,1,3507.20695562394,8237.76513763171,2745.9217125439,1002261.42507852,82377.6513763171,"BOGOTA",2003-09-01,1
"31 a 50 años",1,2,2432.78904792543,8237.76513763171,2745.9217125439,1002261.42507852,82377.6513763171,"BOGOTA",2003-09-01,2
"9 a 13 años",1,3,2297.76913408233,8237.76513763171,2745.9217125439,1002261.42507852,82377.6513763171,"BOGOTA",2003-09-01,3
"31 a 50 años",0,1,3519.14578157638,8262.9456223119,2754.3152074373,1005325.05071461,82629.456223119,"BOGOTA",2003-10-01,1
"31 a 50 años",1,2,2439.24780408228,8262.9456223119,2754.3152074373,1005325.05071461,82629.456223119,"BOGOTA",2003-10-01,2
"9 a 13 años",1,3,2304.55203665323,8262.9456223119,2754.3152074373,1005325.05071461,82629.456223119,"BOGOTA",2003-10-01,3
"31 a 50 años",0,1,3550.04116223399,8334.24906795066,2778.08302265022,1014000.30326733,83342.4906795066,"BOGOTA",2003-11-01,1
"31 a 50 años",1,2,2460.1507957171,8334.24906795066,2778.08302265022,1014000.30326733,83342.4906795066,"BOGOTA",2003-11-01,2
"9 a 13 años",1,3,2324.05710999958,8334.24906795066,2778.08302265022,1014000.30326733,83342.4906795066,"BOGOTA",2003-11-01,3
"31 a 50 años",0,1,3606.17499718689,8471.29937110001,2823.76645703333,1030674.75681717,84712.993711,"BOGOTA",2003-12-01,1
"31 a 50 años",1,2,2501.69316023786,8471.29937110001,2823.76645703333,1030674.75681717,84712.993711,"BOGOTA",2003-12-01,2
"9 a 13 años",1,3,2363.43121367525,8471.29937110001,2823.76645703333,1030674.75681717,84712.993711,"BOGOTA",2003-12-01,3
"31 a 50 años",0,1,3656.03695242266,8587.3590014978,2862.45300049927,1044795.34518223,85873.590014978,"BOGOTA",2004-01-01,1
"31 a 50 años",1,2,2535.73337490775,8587.3590014978,2862.45300049927,1044795.34518223,85873.590014978,"BOGOTA",2004-01-01,2
"9 a 13 años",1,3,2395.58867416739,8587.3590014978,2862.45300049927,1044795.34518223,85873.590014978,"BOGOTA",2004-01-01,3
"31 a 50 años",0,1,3681.37275754818,8646.63452895384,2882.21150965128,1052007.20102272,86466.3452895384,"BOGOTA",2004-02-01,1
"31 a 50 años",1,2,2553.38928792441,8646.63452895384,2882.21150965128,1052007.20102272,86466.3452895384,"BOGOTA",2004-02-01,2
"9 a 13 años",1,3,2411.87248348125,8646.63452895384,2882.21150965128,1052007.20102272,86466.3452895384,"BOGOTA",2004-02-01,3
"31 a 50 años",0,1,3774.91432804697,8861.59254324386,2953.86418108129,1078160.42609467,88615.9254324386,"BOGOTA",2004-03-01,1
"31 a 50 años",1,2,2616.06404696859,8861.59254324386,2953.86418108129,1078160.42609467,88615.9254324386,"BOGOTA",2004-03-01,2
"9 a 13 años",1,3,2470.6141682283,8861.59254324386,2953.86418108129,1078160.42609467,88615.9254324386,"BOGOTA",2004-03-01,3
"31 a 50 años",0,1,3825.79390524978,8977.57899213783,2992.52633071261,1092272.1107101,89775.7899213783,"BOGOTA",2004-04-01,1
"31 a 50 años",1,2,2649.93297674855,8977.57899213783,2992.52633071261,1092272.1107101,89775.7899213783,"BOGOTA",2004-04-01,2
"9 a 13 años",1,3,2501.8521101395,8977.57899213783,2992.52633071261,1092272.1107101,89775.7899213783,"BOGOTA",2004-04-01,3
"31 a 50 años",0,1,3878.61446152398,9099.78877082223,3033.26292360741,1107140.9671167,90997.8877082223,"BOGOTA",2004-05-01,1
"31 a 50 años",1,2,2685.40049816944,9099.78877082223,3033.26292360741,1107140.9671167,90997.8877082223,"BOGOTA",2004-05-01,2
"9 a 13 años",1,3,2535.77381112881,9099.78877082223,3033.26292360741,1107140.9671167,90997.8877082223,"BOGOTA",2004-05-01,3
"31 a 50 años",0,1,3885.3841206236,9116.76432274186,3038.92144091395,1109206.32593359,91167.6432274186,"BOGOTA",2004-06-01,1
"31 a 50 años",1,2,2691.21332819733,9116.76432274186,3038.92144091395,1109206.32593359,91167.6432274186,"BOGOTA",2004-06-01,2
"9 a 13 años",1,3,2540.16687392093,9116.76432274186,3038.92144091395,1109206.32593359,91167.6432274186,"BOGOTA",2004-06-01,3
"31 a 50 años",0,1,3809.29634256158,8943.53214473644,2981.17738157881,1088129.74427627,89435.3214473644,"BOGOTA",2004-07-01,1
"31 a 50 años",1,2,2640.7159778613,8943.53214473644,2981.17738157881,1088129.74427627,89435.3214473644,"BOGOTA",2004-07-01,2
"9 a 13 años",1,3,2493.51982431356,8943.53214473644,2981.17738157881,1088129.74427627,89435.3214473644,"BOGOTA",2004-07-01,3
"31 a 50 años",0,1,3787.8608711771,8893.2915486647,2964.43051622157,1082017.13842087,88932.915486647,"BOGOTA",2004-08-01,1
"31 a 50 años",1,2,2625.62368209523,8893.2915486647,2964.43051622157,1082017.13842087,88932.915486647,"BOGOTA",2004-08-01,2
"9 a 13 años",1,3,2479.80699539236,8893.2915486647,2964.43051622157,1082017.13842087,88932.915486647,"BOGOTA",2004-08-01,3
"31 a 50 años",0,1,3775.74589119,8862.55552941225,2954.18517647075,1078277.58941182,88625.5552941225,"BOGOTA",2004-09-01,1
"31 a 50 años",1,2,2615.48276671547,8862.55552941225,2954.18517647075,1078277.58941182,88625.5552941225,"BOGOTA",2004-09-01,2
"9 a 13 años",1,3,2471.32687150678,8862.55552941225,2954.18517647075,1078277.58941182,88625.5552941225,"BOGOTA",2004-09-01,3
"31 a 50 años",0,1,3817.01784122254,8957.93771585521,2985.9792386184,1089882.42209572,89579.3771585521,"BOGOTA",2004-10-01,1
"31 a 50 años",1,2,2642.78606028945,8957.93771585521,2985.9792386184,1089882.42209572,89579.3771585521,"BOGOTA",2004-10-01,2
"9 a 13 años",1,3,2498.13381434322,8957.93771585521,2985.9792386184,1089882.42209572,89579.3771585521,"BOGOTA",2004-10-01,3
"31 a 50 años",0,1,3808.85624721611,8938.41897651626,2979.47299217209,1087507.64214281,89384.1897651626,"BOGOTA",2004-11-01,1
"31 a 50 años",1,2,2636.91018686239,8938.41897651626,2979.47299217209,1087507.64214281,89384.1897651626,"BOGOTA",2004-11-01,2
"9 a 13 años",1,3,2492.65254243776,8938.41897651626,2979.47299217209,1087507.64214281,89384.1897651626,"BOGOTA",2004-11-01,3
"31 a 50 años",0,1,3788.05096257787,8894.3479496661,2964.7826498887,1082145.66720938,88943.479496661,"BOGOTA",2004-12-01,1
"31 a 50 años",1,2,2625.16800900329,8894.3479496661,2964.7826498887,1082145.66720938,88943.479496661,"BOGOTA",2004-12-01,2
