"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha"
"31 a 50 años",0,1,3253.89871552472,9342.64712141713,3114.21570713904,1136688.73310575,93426.4712141713,"MEDELLÍN",16648
"31 a 50 años",1,2,2874.79741472385,9342.64712141713,3114.21570713904,1136688.73310575,93426.4712141713,"MEDELLÍN",16648
"9 a 13 años",1,3,3213.95099116856,9342.64712141713,3114.21570713904,1136688.73310575,93426.4712141713,"MEDELLÍN",16648
"31 a 50 años",0,1,3274.12874501268,9383.59964973642,3127.86654991214,1141671.29071793,93835.9964973642,"MEDELLÍN",16679
"31 a 50 años",1,2,2885.45136213734,9383.59964973642,3127.86654991214,1141671.29071793,93835.9964973642,"MEDELLÍN",16679
"9 a 13 años",1,3,3224.01954258639,9383.59964973642,3127.86654991214,1141671.29071793,93835.9964973642,"MEDELLÍN",16679
"31 a 50 años",0,1,3294.52801172179,9428.43442725581,3142.81147575194,1147126.18864946,94284.3442725581,"MEDELLÍN",16709
"31 a 50 años",1,2,2897.93097106036,9428.43442725581,3142.81147575194,1147126.18864946,94284.3442725581,"MEDELLÍN",16709
"9 a 13 años",1,3,3235.97544447366,9428.43442725581,3142.81147575194,1147126.18864946,94284.3442725581,"MEDELLÍN",16709
"31 a 50 años",0,1,3323.00811307906,9534.88690009321,3178.2956333644,1160077.90617801,95348.8690009321,"MEDELLÍN",16740
"31 a 50 años",1,2,2930.59972990988,9534.88690009321,3178.2956333644,1160077.90617801,95348.8690009321,"MEDELLÍN",16740
"9 a 13 años",1,3,3281.27905710427,9534.88690009321,3178.2956333644,1160077.90617801,95348.8690009321,"MEDELLÍN",16740
"31 a 50 años",0,1,3360.46210389579,9655.55952212389,3218.51984070796,1174759.74185841,96555.5952212389,"MEDELLÍN",16770
"31 a 50 años",1,2,2966.95176554785,9655.55952212389,3218.51984070796,1174759.74185841,96555.5952212389,"MEDELLÍN",16770
"9 a 13 años",1,3,3328.14565268025,9655.55952212389,3218.51984070796,1174759.74185841,96555.5952212389,"MEDELLÍN",16770
"31 a 50 años",0,1,3416.41189973993,9786.17596661275,3262.05865553758,1190651.40927122,97861.7596661275,"MEDELLÍN",16801
"31 a 50 años",1,2,3000.06839902562,9786.17596661275,3262.05865553758,1190651.40927122,97861.7596661275,"MEDELLÍN",16801
"9 a 13 años",1,3,3369.6956678472,9786.17596661275,3262.05865553758,1190651.40927122,97861.7596661275,"MEDELLÍN",16801
