"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha"
"9 a 13 años",1,3,1235.1765520065,4363.60077434721,1454.53359144907,530904.76087891,43636.0077434721,"BOGOTÁ D.C.",18687
"31 a 50 años",0,1,1808.84686717098,4333.40533279196,1444.46844426399,527230.982156355,43334.0533279196,"BOGOTÁ D.C.",18718
"31 a 50 años",1,2,1297.92914405907,4333.40533279196,1444.46844426399,527230.982156355,43334.0533279196,"BOGOTÁ D.C.",18718
"9 a 13 años",1,3,1226.62932156191,4333.40533279196,1444.46844426399,527230.982156355,43334.0533279196,"BOGOTÁ D.C.",18718
"31 a 50 años",0,1,1827.60305617183,4378.33902558499,1459.44634186166,532697.914779508,43783.3902558499,"BOGOTÁ D.C.",18748
"31 a 50 años",1,2,1311.38755492706,4378.33902558499,1459.44634186166,532697.914779508,43783.3902558499,"BOGOTÁ D.C.",18748
"9 a 13 años",1,3,1239.34841448611,4378.33902558499,1459.44634186166,532697.914779508,43783.3902558499,"BOGOTÁ D.C.",18748
"31 a 50 años",0,1,1814.69879813816,4347.42464494079,1449.1415483136,528936.665134463,43474.2464494079,"BOGOTÁ D.C.",18779
"31 a 50 años",1,2,1302.1281682491,4347.42464494079,1449.1415483136,528936.665134463,43474.2464494079,"BOGOTÁ D.C.",18779
"9 a 13 años",1,3,1230.59767855352,4347.42464494079,1449.1415483136,528936.665134463,43474.2464494079,"BOGOTÁ D.C.",18779
"31 a 50 años",0,1,1776.13607355491,4255.04097256426,1418.34699085475,517696.651661985,42550.4097256426,"BOGOTÁ D.C.",18809
"31 a 50 años",1,2,1274.45767550629,4255.04097256426,1418.34699085475,517696.651661985,42550.4097256426,"BOGOTÁ D.C.",18809
"9 a 13 años",1,3,1204.44722350306,4255.04097256426,1418.34699085475,517696.651661985,42550.4097256426,"BOGOTÁ D.C.",18809
"31 a 50 años",0,1,1718.51706094696,4117.00466831038,1372.33488943679,500902.234644429,41170.0466831038,"BOGOTÁ D.C.",18840
"31 a 50 años",1,2,1233.1134373217,4117.00466831038,1372.33488943679,500902.234644429,41170.0466831038,"BOGOTÁ D.C.",18840
"9 a 13 años",1,3,1165.37417004171,4117.00466831038,1372.33488943679,500902.234644429,41170.0466831038,"BOGOTÁ D.C.",18840
"31 a 50 años",0,1,1682.50517806651,4030.73197815054,1343.57732605018,490405.724008316,40307.3197815054,"BOGOTÁ D.C.",18871
"31 a 50 años",1,2,1207.27328845598,4030.73197815054,1343.57732605018,490405.724008316,40307.3197815054,"BOGOTÁ D.C.",18871
"9 a 13 años",1,3,1140.95351162805,4030.73197815054,1343.57732605018,490405.724008316,40307.3197815054,"BOGOTÁ D.C.",18871
"31 a 50 años",0,1,1605.52977841,3846.32410293499,1282.10803431166,467969.432523757,38463.2410293499,"BOGOTÁ D.C.",18901
"31 a 50 años",1,2,1152.03997025585,3846.32410293499,1282.10803431166,467969.432523757,38463.2410293499,"BOGOTÁ D.C.",18901
"9 a 13 años",1,3,1088.75435426914,3846.32410293499,1282.10803431166,467969.432523757,38463.2410293499,"BOGOTÁ D.C.",18901
"31 a 50 años",0,1,1577.17042064182,3778.38435943453,1259.46145314484,459703.430397868,37783.8435943453,"BOGOTÁ D.C.",18932
"31 a 50 años",1,2,1131.69085302422,3778.38435943453,1259.46145314484,459703.430397868,37783.8435943453,"BOGOTÁ D.C.",18932
"9 a 13 años",1,3,1069.52308576849,3778.38435943453,1259.46145314484,459703.430397868,37783.8435943453,"BOGOTÁ D.C.",18932
"31 a 50 años",0,1,1576.72027210603,3777.30595080805,1259.10198360268,459572.22401498,37773.0595080805,"BOGOTÁ D.C.",18962
"31 a 50 años",1,2,1131.36785116355,3777.30595080805,1259.10198360268,459572.22401498,37773.0595080805,"BOGOTÁ D.C.",18962
"9 a 13 años",1,3,1069.21782753847,3777.30595080805,1259.10198360268,459572.22401498,37773.0595080805,"BOGOTÁ D.C.",18962
"31 a 50 años",0,1,1600.72819402633,3834.82107758128,1278.27369252709,466569.897772389,38348.2107758128,"BOGOTÁ D.C.",18993
"31 a 50 años",1,2,1148.59461707403,3834.82107758128,1278.27369252709,466569.897772389,38348.2107758128,"BOGOTÁ D.C.",18993
"9 a 13 años",1,3,1085.49826648092,3834.82107758128,1278.27369252709,466569.897772389,38348.2107758128,"BOGOTÁ D.C.",18993
"31 a 50 años",0,1,1641.99180982624,3933.6752017213,1311.22506724044,478597.149542759,39336.7520172131,"BOGOTÁ D.C.",19024
"31 a 50 años",1,2,1178.20312098223,3933.6752017213,1311.22506724044,478597.149542759,39336.7520172131,"BOGOTÁ D.C.",19024
"9 a 13 años",1,3,1113.48027091283,3933.6752017213,1311.22506724044,478597.149542759,39336.7520172131,"BOGOTÁ D.C.",19024
"31 a 50 años",0,1,1763.68196405897,4225.20500055117,1408.40166685039,514066.608400392,42252.0500055117,"BOGOTÁ D.C.",19052
"31 a 50 años",1,2,1265.52129069038,4225.20500055117,1408.40166685039,514066.608400392,42252.0500055117,"BOGOTÁ D.C.",19052
"9 a 13 años",1,3,1196.00174580181,4225.20500055117,1408.40166685039,514066.608400392,42252.0500055117,"BOGOTÁ D.C.",19052
"31 a 50 años",0,1,1883.57152414662,4512.42116487049,1504.14038829016,549011.24172591,45124.2116487049,"BOGOTÁ D.C.",19083
"31 a 50 años",1,2,1351.54745295449,4512.42116487049,1504.14038829016,549011.24172591,45124.2116487049,"BOGOTÁ D.C.",19083
"9 a 13 años",1,3,1277.30218776938,4512.42116487049,1504.14038829016,549011.24172591,45124.2116487049,"BOGOTÁ D.C.",19083
"31 a 50 años",0,1,2018.91618397072,4836.66269205071,1612.22089735024,588460.627532837,48366.6269205071,"BOGOTÁ D.C.",19113
"31 a 50 años",1,2,1448.66334577366,4836.66269205071,1612.22089735024,588460.627532837,48366.6269205071,"BOGOTÁ D.C.",19113
"9 a 13 años",1,3,1369.08316230634,4836.66269205071,1612.22089735024,588460.627532837,48366.6269205071,"BOGOTÁ D.C.",19113
"31 a 50 años",0,1,2104.14430678914,5040.84139209891,1680.28046403297,613302.369372034,50408.4139209891,"BOGOTÁ D.C.",19144
"31 a 50 años",1,2,1509.81836475682,5040.84139209891,1680.28046403297,613302.369372034,50408.4139209891,"BOGOTÁ D.C.",19144
"9 a 13 años",1,3,1426.87872055294,5040.84139209891,1680.28046403297,613302.369372034,50408.4139209891,"BOGOTÁ D.C.",19144
"31 a 50 años",0,1,2122.75044627612,5085.41561534514,1695.13853844838,618725.566533658,50854.1561534514,"BOGOTÁ D.C.",19174
"31 a 50 años",1,2,1523.16910833654,5085.41561534514,1695.13853844838,618725.566533658,50854.1561534514,"BOGOTÁ D.C.",19174
