ciudad,articulo,subclase_ipc,k,apply_D,lambda,sigma2,se2,r2,n_obs,est_ok
BOGOTÁ D.C.,POLLO DESPRESADO POR LIBRA,011203,2,TRUE,0.73399332498568,1.9609433019776137e-4,0.004672822218649605,0.3633655386045335,203,TRUE
BOGOTÁ D.C.,PESCADO DE MAR,011303,5,TRUE,0.7746418265123678,1.5017437150163012e-4,0.006128654275399452,0.3264695233895703,203,TRUE
BOGOTÁ D.C.,PESCADO DE RÍO,011303,5,TRUE,1.0534654870664737,1.039350192211226e-4,0.004241614554760051,0.5643201334966963,203,TRUE
BOGOTÁ D.C.,PESCADO ENLATADO,011303,5,TRUE,0.63255000549300755,3.159533955759549e-4,0.012894138389002887,0.13316297365920265,203,TRUE
BOGOTÁ D.C.,CAMARONES O VARIEDAD DISPONIBLE,011303,5,TRUE,1.8396119954807133,6.219812067101253e-4,0.11614612443251136,0.26217320954771495,83,TRUE
BOGOTÁ D.C.,HUEVOS,011405,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,LECHE PASTEURIZADA,011401,4,TRUE,0.9850836322449942,7.159837967140541e-5,0.0022449245178272404,0.6815183272100209,203,TRUE
BOGOTÁ D.C.,LECHE LARGA VIDA,011401,4,TRUE,1.1667577567214407,4.138723276045794e-5,0.0012976720140229821,0.8385357132726636,203,TRUE
BOGOTÁ D.C.,LECHE EN POLVO ENTERA,011401,4,TRUE,0.5189223725322144,2.520438976501016e-4,0.007902686178098337,0.14433807013456199,203,TRUE
BOGOTÁ D.C.,LECHE EN POLVO LACTANTE,011401,4,TRUE,0.42927566139558043,3.197486200425014e-4,0.010025527392786986,0.08340488237714953,203,TRUE
BOGOTÁ D.C.,QUESO CAMPESINO,011402,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,MANTEQUILLA,NA,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,011501,2,TRUE,1.1102434269422594,9.011594675881287e-5,0.0012119862416195958,0.8342960614030058,203,TRUE
BOGOTÁ D.C.,ACEITE DE GIRASOL,011501,2,TRUE,0.8784372522753939,1.0749263468283231e-4,0.0014456885711883558,0.7254542813174799,203,TRUE
BOGOTÁ D.C.,MANTECA VEGETAL,011505,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,PANELA,011802,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,AZÚCAR REFINADA,011801,2,TRUE,0.9877300501796737,1.924984592140605e-5,2.5689704964517677e-4,0.9494958547138688,203,TRUE
BOGOTÁ D.C.,AZÚCAR NATURAL O MORENA,011801,2,TRUE,0.9809198669926829,7.87597128222668e-5,0.001051080509296038,0.819230074754148,203,TRUE
BOGOTÁ D.C.,CAFÉ MOLIDO,012101,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,SAL,011902,1,FALSE,1,NA,NA,NA,NA,TRUE
CALI,ARROZ PARA SECO,011101,2,TRUE,1.0631638902636993,4.863642900241485e-5,2.2107277999330855e-4,0.9619934606969391,203,TRUE
