"deciles","rate","gap","severity","model","ciudad","fecha"
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.",17683
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.",17683
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.",17683
"Decil 1",10.188679245283,0.0405707284579407,0.0269857783629404,"CoCA","BOGOTÁ D.C.",17713
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 1",84.9056603773585,0.285531092105367,0.142398080033431,"CoNA","BOGOTÁ D.C.",17713
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 1",100,0.569212325341324,0.347032763693681,"CoRD","BOGOTÁ D.C.",17713
"Decil 2",100,0.202011131060229,0.048646559961185,"CoRD","BOGOTÁ D.C.",17713
"Decil 3",73.5849056603774,0.0595212394315642,0.00591216416776542,"CoRD","BOGOTÁ D.C.",17713
"Decil 4",0,0,0,"CoRD","BOGOTÁ D.C.",17713
"Decil 5",0,0,0,"CoRD","BOGOTÁ D.C.",17713
"Decil 6",0,0,0,"CoRD","BOGOTÁ D.C.",17713
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.",17713
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.",17713
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.",17713
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.",17713
"Decil 1",9.22509225092251,0.0403960348854512,0.0313595011732751,"CoCA","BOGOTÁ D.C.",17744
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 1",100,0.306877442443855,0.140704011588327,"CoNA","BOGOTÁ D.C.",17744
"Decil 2",10.7011070110701,0.0021731195754921,5.99388174729445e-05,"CoNA","BOGOTÁ D.C.",17744
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17744
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17744
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17744
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17744
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17744
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17744
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17744
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17744
"Decil 1",100,0.585984611539461,0.3599795004488,"CoRD","BOGOTÁ D.C.",17744
"Decil 2",100,0.25344393335255,0.0730977273871967,"CoRD","BOGOTÁ D.C.",17744
"Decil 3",73.8007380073801,0.071956138486744,0.00953683911890978,"CoRD","BOGOTÁ D.C.",17744
"Decil 4",0,0,0,"CoRD","BOGOTÁ D.C.",17744
"Decil 5",0,0,0,"CoRD","BOGOTÁ D.C.",17744
"Decil 6",0,0,0,"CoRD","BOGOTÁ D.C.",17744
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.",17744
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.",17744
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.",17744
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.",17744
