ciudad,anio_mes,fecha_mes,nominal,real_B,n_obs,implicit_deflator_B,nom_growth_yoy,real_growth_yoy
"BOGOTA, D.C.",2015-11,2015-11-01,1231.000376515562,1287.2495979353084,22,0.9563027857923065,10.81679799993671,-2.8733304898004963
"BOGOTA, D.C.",2015-12,2015-12-01,1236.8360009980008,1270.9251408705575,22,0.9731776964855646,11.389132201314855,-5.5218221771365155
"BOGOTA, D.C.",2016-01,2016-01-01,1244.6988604914088,1209.485815866069,22,1.0291140616643983,10.707362598513924,-9.379582078095016
"BOGOTA, D.C.",2016-02,2016-02-01,1291.7119637515439,1259.559170780995,22,1.025527020656451,13.044002303031665,-4.469048659860386
"BOGOTA, D.C.",2016-03,2016-03-01,1323.2805829396805,1280.4348831081422,22,1.0334618342539483,15.852151025012873,-1.2491003844246729
"BOGOTA, D.C.",2016-04,2016-04-01,1349.1659132242357,1279.8210777914235,22,1.0541832265745146,16.659403410841932,-0.12635085639652877
"BOGOTA, D.C.",2016-05,2016-05-01,1350.9822220490914,1279.3530289396915,22,1.0559886063417265,10.676145663515623,-6.5385677239024
"BOGOTA, D.C.",2016-06,2016-06-01,1340.5062214721825,1254.2077957746615,22,1.0688071195126154,7.167839651325658,-10.241583420344014
"BOGOTA, D.C.",2016-07,2016-07-01,1400.2452046277574,1261.5661312695684,22,1.1099261227143362,13.843925954860303,-9.323515324409893
"BOGOTA, D.C.",2016-08,2016-08-01,1403.6434598484552,1334.3280852977782,22,1.0519477745499213,14.232309746328454,-2.050786706838903
"BOGOTA, D.C.",2016-09,2016-09-01,1398.7452850820705,1409.3262533774082,22,0.9924921796709735,12.599873595638122,4.696170698472257
"BOGOTA, D.C.",2016-10,2016-10-01,1396.4954057635389,NA,22,NA,13.483916430190224,NA
"BOGOTA, D.C.",2016-11,2016-11-01,1387.777123404232,1436.9620977229483,22,0.9657715576516206,12.735718841324672,11.63041728875054
"BOGOTA, D.C.",2016-12,2016-12-01,1376.726934876239,1438.3060799889445,22,0.9571863416490746,11.31038664506534,13.170007716090538
"BOGOTA, D.C.",2017-01,2017-01-01,1398.534358895958,1425.029048010061,22,0.9814076147071523,12.359254377706641,17.82106324162629
"BOGOTA, D.C.",2017-02,2017-02-01,1363.6963838230815,1361.4427834625478,22,1.001655303026986,5.572791929748178,8.088831000958807
"BOGOTA, D.C.",2017-03,2017-03-01,1350.1502354260933,1341.989263758398,22,1.006081249595723,2.0305332695747413,4.807302695537152
"BOGOTA, D.C.",2017-04,2017-04-01,1356.7944102886297,1360.1592073824334,22,0.9975261740864299,0.5654231988535319,6.277293833107422
"BOGOTA, D.C.",2017-05,2017-05-01,1350.8416045916836,1331.7019597600242,22,1.0143723185892948,-0.01040853499867378,4.0918284192220655
"BOGOTA, D.C.",2017-06,2017-06-01,1313.906085779135,1274.7054451332153,22,1.0307527051018621,-1.9843351166124679,1.6343104729223512
"BOGOTA, D.C.",2017-07,2017-07-01,1284.997480160303,1245.3945932968795,22,1.0317994690811885,-8.230538771821184,-1.2818620896563493
"BOGOTA, D.C.",2017-08,2017-08-01,1278.2595603261611,1253.3684116278653,22,1.0198594032427923,-8.932745608762438,-6.067448820268617
"BOGOTA, D.C.",2017-09,2017-09-01,1260.1433445634073,1267.9201197054313,22,0.993866510183756,-9.909019318733991,-10.033598205745575
"BOGOTA, D.C.",2017-10,2017-10-01,1217.1729932037576,NA,22,NA,-12.840888113179005,NA
"BOGOTA, D.C.",2017-11,2017-11-01,1179.6281320757737,1212.8802977404016,22,0.9725841323941227,-14.998733429029777,-15.59413434339244
"BOGOTA, D.C.",2017-12,2017-12-01,1155.8637817737906,1204.8553391210576,22,0.9593382244685024,-16.04262599266302,-16.230950012370204
