"deciles","rate","gap","severity","model","ciudad","trimestre"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q3"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q3"
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q3"
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q3"
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q3"
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q3"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q3"
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q3"
"Decil 1",40.0778210116732,0.159334576804281,0.0979029104629568,"CoNA","BOGOTÁ D.C.","2019Q3"
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q3"
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q3"
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q3"
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q3"
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q3"
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q3"
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q3"
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q3"
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q3"
"Decil 1",52.5291828793774,0.405030492822822,0.31794419427392,"CoRD","BOGOTÁ D.C.","2019Q3"
"Decil 2",54.863813229572,0.304275171069943,0.169908866780687,"CoRD","BOGOTÁ D.C.","2019Q3"
"Decil 3",47.4708171206226,0.207424270036451,0.0914120053971165,"CoRD","BOGOTÁ D.C.","2019Q3"
"Decil 4",52.5291828793774,0.153803767206313,0.0461536796568317,"CoRD","BOGOTÁ D.C.","2019Q3"
"Decil 5",49.0272373540856,0.0723523986331932,0.0118600562670716,"CoRD","BOGOTÁ D.C.","2019Q3"
"Decil 6",16.015625,0.00515400656399065,0.000214089415824492,"CoRD","BOGOTÁ D.C.","2019Q3"
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.","2019Q3"
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.","2019Q3"
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.","2019Q3"
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.","2019Q3"
"Decil 1",9.7165991902834,0.0549651933874464,0.0460994856370499,"CoCA","BOGOTÁ D.C.","2019Q4"
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q4"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q4"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q4"
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q4"
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q4"
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q4"
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q4"
