"deciles","rate","gap","severity","model","ciudad","fecha"
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17956
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17956
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17956
"Decil 1",25.0909090909091,0.152310517686195,0.126392623630011,"CoCA","BOGOTÁ D.C.",17987
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17987
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17987
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17987
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17987
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17987
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17987
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17987
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17987
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17987
"Decil 1",100,0.38742781956714,0.251622838877433,"CoNA","BOGOTÁ D.C.",17987
"Decil 2",4.72727272727273,0.0002775644919985,2.46569749888294e-06,"CoNA","BOGOTÁ D.C.",17987
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17987
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17987
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17987
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17987
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17987
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17987
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17987
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17987
"Decil 1",10.4868913857678,0.0747423310942254,0.0620233496434875,"CoCA","BOGOTÁ D.C.",18017
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",18017
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",18017
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",18017
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",18017
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",18017
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",18017
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",18017
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",18017
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",18017
"Decil 1",79.4007490636704,0.273322553626349,0.15176983425948,"CoNA","BOGOTÁ D.C.",18017
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.",18017
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",18017
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",18017
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",18017
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",18017
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",18017
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",18017
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",18017
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",18017
"Decil 1",19.1335740072202,0.066259457098501,0.0415969604017819,"CoCA","BOGOTÁ D.C.",18048
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",18048
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",18048
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",18048
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",18048
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",18048
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",18048
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",18048
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",18048
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",18048
"Decil 1",100,0.457581975173207,0.254281998612079,"CoNA","BOGOTÁ D.C.",18048
"Decil 2",28.8808664259928,0.0162608969575391,0.00123554337858329,"CoNA","BOGOTÁ D.C.",18048
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",18048
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",18048
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",18048
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",18048
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",18048
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",18048
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",18048
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",18048
"Decil 1",14.5669291338583,0.0923528550491255,0.0655878774782536,"CoCA","BOGOTÁ D.C.",18078
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",18078
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",18078
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",18078
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",18078
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",18078
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",18078
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",18078
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",18078
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",18078
"Decil 1",88.5826771653543,0.294659952695843,0.165941746277316,"CoNA","BOGOTÁ D.C.",18078
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.",18078
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",18078
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",18078
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",18078
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",18078
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",18078
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",18078
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",18078
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",18078
"Decil 1",14.1221374045802,0.09133251539779,0.0762617438374802,"CoCA","BOGOTÁ D.C.",18109
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",18109
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",18109
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",18109
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",18109
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",18109
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",18109
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",18109
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",18109
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",18109
"Decil 1",100,0.332333257452609,0.18139455441198,"CoNA","BOGOTÁ D.C.",18109
"Decil 2",6.87022900763359,0.000975808254355123,1.39277041263918e-05,"CoNA","BOGOTÁ D.C.",18109
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",18109
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",18109
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",18109
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",18109
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",18109
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",18109
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",18109
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",18109
"Decil 1",16.988416988417,0.0686783708625537,0.0532166735970794,"CoCA","BOGOTÁ D.C.",18140
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",18140
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",18140
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",18140
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",18140
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",18140
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",18140
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",18140
