ciudad,articulo,subclase_ipc,k,apply_D,lambda,sigma2,se2,r2,n_obs,est_ok,v_item,k_city,v_sc,Q_sc,kb,delta,lambda_shrunk,reversion_reason,lambda_final,method_label
BOGOTÁ D.C.,ARRACACHA,011712,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
BOGOTÁ D.C.,PLÁTANO,011704,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
BOGOTÁ D.C.,CEBOLLA LARGA,011714,2,TRUE,0.6300043238189569,0.006013122693923927,0.002374800050778002,0.45277051115896094,203,TRUE,0.002374800050778002,2,0.0022247811183658452,0.23778459916595052,2,0.9829484256430129,0.6363133326031216,none,0.6363133326031216,D_city
BOGOTÁ D.C.,CEBOLLA CABEZONA,011714,2,TRUE,1.317628397303017,0.0052534105264003955,0.002074762185953689,0.8055433794330175,203,TRUE,0.002074762185953689,2,0.0022247811183658452,0.23778459916595052,2,0.9798493533316921,1.3112279796971429,none,1.3112279796971429,D_city
BOGOTÁ D.C.,TOMATE,011713,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
BOGOTÁ D.C.,ZANAHORIA,011715,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
BOGOTÁ D.C.,HABICHUELAS FRESCAS,011716,8,TRUE,2.0105270643932163,0.018833903880779837,0.029940757796495177,0.4006063491720384,203,TRUE,0.029940757796495177,8,0.01571755271415929,5.4265700662548815,8,0.9826215611088497,1.992965681556805,none,1.992965681556805,D_city
BOGOTÁ D.C.,REPOLLO,011716,8,TRUE,0.08714184789506982,0.014026378100292922,0.02229810623019627,0.001683071694496168,203,TRUE,0.02229810623019627,8,0.01571755271415929,5.4265700662548815,8,0.9826215611088497,0.10300589750771383,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,LECHUGA,011716,8,TRUE,1.0780858097811046,0.017962031007037197,0.0285547183058348,0.1677077911575802,203,TRUE,0.0285547183058348,8,0.01571755271415929,5.4265700662548815,8,0.9826215611088497,1.0767288003075577,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,AJO,011716,8,TRUE,0.19748452322764445,0.0042908606528081344,0.0068212952746002885,0.027524940260035997,203,TRUE,0.0068212952746002885,8,0.01571755271415929,5.4265700662548815,8,0.9826215611088497,0.2114309893999352,low_R2,1,BASE_lowR2
