"ciudad","trimestre","fecha","Demo_Group","Sex","person","cost_day","total_household","per_capita","per_capita_year","per_capita_month"
"BOGOTA","2009Q4",2009-10-01,"9 a 13 años",1,3,5003.87751385726,17891.7119955204,5963.9039985068,2176824.95945498,178917.119955204
"BOGOTA","2010Q1",2010-01-01,"31 a 50 años",0,1,7589.89939582703,17888.1788972706,5962.72629909021,2176395.09916793,178881.788972706
"BOGOTA","2010Q1",2010-01-01,"31 a 50 años",1,2,5295.80121502092,17888.1788972706,5962.72629909021,2176395.09916793,178881.788972706
"BOGOTA","2010Q1",2010-01-01,"9 a 13 años",1,3,5002.47828642268,17888.1788972706,5962.72629909021,2176395.09916793,178881.788972706
"BOGOTA","2010Q2",2010-04-01,"31 a 50 años",0,1,7563.89833432339,17822.3060162536,5940.76867208454,2168380.56531086,178223.060162536
"BOGOTA","2010Q2",2010-04-01,"31 a 50 años",1,2,5275.08151175302,17822.3060162536,5940.76867208454,2168380.56531086,178223.060162536
"BOGOTA","2010Q2",2010-04-01,"9 a 13 años",1,3,4983.32617017722,17822.3060162536,5940.76867208454,2168380.56531086,178223.060162536
"BOGOTA","2010Q3",2010-07-01,"31 a 50 años",0,1,7600.08452010812,17907.748424554,5969.24947485133,2178776.05832074,179077.48424554
"BOGOTA","2010Q3",2010-07-01,"31 a 50 años",1,2,5301.42420740222,17907.748424554,5969.24947485133,2178776.05832074,179077.48424554
"BOGOTA","2010Q3",2010-07-01,"9 a 13 años",1,3,5006.23969704365,17907.748424554,5969.24947485133,2178776.05832074,179077.48424554
"BOGOTA","2010Q4",2010-10-01,"31 a 50 años",0,1,7641.95624924358,18012.0204821742,6004.0068273914,2191462.49199786,180120.204821742
"BOGOTA","2010Q4",2010-10-01,"31 a 50 años",1,2,5335.49938567387,18012.0204821742,6004.0068273914,2191462.49199786,180120.204821742
"BOGOTA","2010Q4",2010-10-01,"9 a 13 años",1,3,5034.56484725676,18012.0204821742,6004.0068273914,2191462.49199786,180120.204821742
"BOGOTA","2011Q1",2011-01-01,"31 a 50 años",0,1,7623.35555379447,17961.5357759244,5987.17859197479,2185320.1860708,179615.357759244
"BOGOTA","2011Q1",2011-01-01,"31 a 50 años",1,2,5318.59580233811,17961.5357759244,5987.17859197479,2185320.1860708,179615.357759244
"BOGOTA","2011Q1",2011-01-01,"9 a 13 años",1,3,5019.58441979179,17961.5357759244,5987.17859197479,2185320.1860708,179615.357759244
"BOGOTA","2011Q2",2011-04-01,"31 a 50 años",0,1,7497.18367605011,17663.9597841648,5887.98659472158,2149115.10707338,176639.597841648
"BOGOTA","2011Q2",2011-04-01,"31 a 50 años",1,2,5227.80115115876,17663.9597841648,5887.98659472158,2149115.10707338,176639.597841648
"BOGOTA","2011Q2",2011-04-01,"9 a 13 años",1,3,4938.97495695589,17663.9597841648,5887.98659472158,2149115.10707338,176639.597841648
"BOGOTA","2011Q3",2011-07-01,"31 a 50 años",0,1,7501.48324156813,17677.599656206,5892.53321873535,2150774.6248384,176775.99656206
"BOGOTA","2011Q3",2011-07-01,"31 a 50 años",1,2,5233.20824400449,17677.599656206,5892.53321873535,2150774.6248384,176775.99656206
"BOGOTA","2011Q3",2011-07-01,"9 a 13 años",1,3,4942.90817063342,17677.599656206,5892.53321873535,2150774.6248384,176775.99656206
"BOGOTA","2011Q4",2011-10-01,"31 a 50 años",0,1,7581.97557149661,17872.4141820784,5957.47139402613,2174477.05881954,178724.141820784
"BOGOTA","2011Q4",2011-10-01,"31 a 50 años",1,2,5293.964991489,17872.4141820784,5957.47139402613,2174477.05881954,178724.141820784
"BOGOTA","2011Q4",2011-10-01,"9 a 13 años",1,3,4996.47361909276,17872.4141820784,5957.47139402613,2174477.05881954,178724.141820784
"BOGOTA","2012Q1",2012-01-01,"31 a 50 años",0,1,7506.45102703443,17687.5610103883,5895.85367012945,2151986.58959725,176875.610103883
"BOGOTA","2012Q1",2012-01-01,"31 a 50 años",1,2,5235.44613287814,17687.5610103883,5895.85367012945,2151986.58959725,176875.610103883
"BOGOTA","2012Q1",2012-01-01,"9 a 13 años",1,3,4945.66385047578,17687.5610103883,5895.85367012945,2151986.58959725,176875.610103883
"BOGOTA","2012Q2",2012-04-01,"31 a 50 años",0,1,7488.62079384545,17649.1511725188,5883.0503908396,2147313.39265645,176491.511725188
"BOGOTA","2012Q2",2012-04-01,"31 a 50 años",1,2,5224.83869284649,17649.1511725188,5883.0503908396,2147313.39265645,176491.511725188
"BOGOTA","2012Q2",2012-04-01,"9 a 13 años",1,3,4935.69168582686,17649.1511725188,5883.0503908396,2147313.39265645,176491.511725188
"BOGOTA","2012Q3",2012-07-01,"31 a 50 años",0,1,7467.67763890578,17600.5555339537,5866.85184465124,2141400.9232977,176005.555339537
