"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha","person"
"31 a 50 años",1,2,3504.84203782293,11070.6244140768,3690.2081380256,1346925.97037934,110706.244140768,"MEDELLIN",2007-12-01,2
"9 a 13 años",1,3,3623.05910632315,11070.6244140768,3690.2081380256,1346925.97037934,110706.244140768,"MEDELLIN",2007-12-01,3
"31 a 50 años",0,1,3889.63914850345,10970.7896610166,3656.92988700552,1334779.40875702,109707.896610166,"MEDELLIN",2008-01-01,1
"31 a 50 años",1,2,3459.03996616812,10970.7896610166,3656.92988700552,1334779.40875702,109707.896610166,"MEDELLIN",2008-01-01,2
"9 a 13 años",1,3,3622.110546345,10970.7896610166,3656.92988700552,1334779.40875702,109707.896610166,"MEDELLIN",2008-01-01,3
"31 a 50 años",0,1,3964.30779301232,11029.0641038256,3676.3547012752,1341869.46596545,110290.641038256,"MEDELLIN",2008-02-01,1
"31 a 50 años",1,2,3457.39792611438,11029.0641038256,3676.3547012752,1341869.46596545,110290.641038256,"MEDELLIN",2008-02-01,2
"9 a 13 años",1,3,3607.3583846989,11029.0641038256,3676.3547012752,1341869.46596545,110290.641038256,"MEDELLIN",2008-02-01,3
"31 a 50 años",0,1,4030.06261652186,11156.2721321354,3718.75737737847,1357346.44274314,111562.721321354,"MEDELLIN",2008-03-01,1
"31 a 50 años",1,2,3508.27801729751,11156.2721321354,3718.75737737847,1357346.44274314,111562.721321354,"MEDELLIN",2008-03-01,2
"9 a 13 años",1,3,3617.93149831603,11156.2721321354,3718.75737737847,1357346.44274314,111562.721321354,"MEDELLIN",2008-03-01,3
"31 a 50 años",0,1,4165.99833098372,11421.3243119726,3807.10810399086,1389594.45795666,114213.243119726,"MEDELLIN",2008-04-01,1
"31 a 50 años",1,2,3616.38496149489,11421.3243119726,3807.10810399086,1389594.45795666,114213.243119726,"MEDELLIN",2008-04-01,2
"9 a 13 años",1,3,3638.94101949396,11421.3243119726,3807.10810399086,1389594.45795666,114213.243119726,"MEDELLIN",2008-04-01,3
"31 a 50 años",0,1,4233.23878408795,11573.3503703514,3857.78345678379,1408090.96172609,115733.503703514,"MEDELLIN",2008-05-01,1
"31 a 50 años",1,2,3669.9205632312,11573.3503703514,3857.78345678379,1408090.96172609,115733.503703514,"MEDELLIN",2008-05-01,2
"9 a 13 años",1,3,3670.19102303223,11573.3503703514,3857.78345678379,1408090.96172609,115733.503703514,"MEDELLIN",2008-05-01,3
"31 a 50 años",0,1,4219.04211059186,11531.772612035,3843.92420401166,1403032.33446426,115317.72612035,"MEDELLIN",2008-06-01,1
"31 a 50 años",1,2,3655.2626001359,11531.772612035,3843.92420401166,1403032.33446426,115317.72612035,"MEDELLIN",2008-06-01,2
"9 a 13 años",1,3,3657.46790130723,11531.772612035,3843.92420401166,1403032.33446426,115317.72612035,"MEDELLIN",2008-06-01,3
"31 a 50 años",0,1,4239.19940326214,11582.5542966734,3860.85143222446,1409210.77276193,115825.542966734,"MEDELLIN",2008-07-01,1
"31 a 50 años",1,2,3675.73128209103,11582.5542966734,3860.85143222446,1409210.77276193,115825.542966734,"MEDELLIN",2008-07-01,2
"9 a 13 años",1,3,3667.62361132022,11582.5542966734,3860.85143222446,1409210.77276193,115825.542966734,"MEDELLIN",2008-07-01,3
"31 a 50 años",0,1,4370.12898014243,11720.5529726267,3906.85099087557,1426000.61166958,117205.529726267,"MEDELLIN",2008-08-01,1
"31 a 50 años",1,2,3668.44534722805,11720.5529726267,3906.85099087557,1426000.61166958,117205.529726267,"MEDELLIN",2008-08-01,2
"9 a 13 años",1,3,3681.97864525621,11720.5529726267,3906.85099087557,1426000.61166958,117205.529726267,"MEDELLIN",2008-08-01,3
"31 a 50 años",0,1,4410.50821258915,11780.3233244221,3926.77444147403,1433272.67113802,117803.233244221,"MEDELLIN",2008-09-01,1
"31 a 50 años",1,2,3685.25834152587,11780.3233244221,3926.77444147403,1433272.67113802,117803.233244221,"MEDELLIN",2008-09-01,2
"9 a 13 años",1,3,3684.55677030707,11780.3233244221,3926.77444147403,1433272.67113802,117803.233244221,"MEDELLIN",2008-09-01,3
"31 a 50 años",0,1,4510.59402332355,11883.6168389585,3961.20561298618,1445840.04873995,118836.168389585,"MEDELLIN",2008-10-01,1
"31 a 50 años",1,2,3688.54446248566,11883.6168389585,3961.20561298618,1445840.04873995,118836.168389585,"MEDELLIN",2008-10-01,2
"9 a 13 años",1,3,3684.47835314933,11883.6168389585,3961.20561298618,1445840.04873995,118836.168389585,"MEDELLIN",2008-10-01,3
