"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha","person"
"31 a 50 años",0,1,8470.72986511617,19928.7285711228,6642.90952370762,2424661.97615328,199287.285711228,"BOGOTA",2019-06-01,1
"31 a 50 años",1,2,5901.60350857884,19928.7285711228,6642.90952370762,2424661.97615328,199287.285711228,"BOGOTA",2019-06-01,2
"9 a 13 años",1,3,5556.39519742784,19928.7285711228,6642.90952370762,2424661.97615328,199287.285711228,"BOGOTA",2019-06-01,3
"31 a 50 años",0,1,8465.05325378448,19918.5138158888,6639.50460529628,2423419.18093314,199185.138158888,"BOGOTA",2019-07-01,1
"31 a 50 años",1,2,5899.83986911344,19918.5138158888,6639.50460529628,2423419.18093314,199185.138158888,"BOGOTA",2019-07-01,2
"9 a 13 años",1,3,5553.62069299091,19918.5138158888,6639.50460529628,2423419.18093314,199185.138158888,"BOGOTA",2019-07-01,3
"31 a 50 años",0,1,8352.7738410512,19661.2065498678,6553.73551662259,2392113.46356725,196612.065498678,"BOGOTA",2019-08-01,1
"31 a 50 años",1,2,5824.48623930774,19661.2065498678,6553.73551662259,2392113.46356725,196612.065498678,"BOGOTA",2019-08-01,2
"9 a 13 años",1,3,5483.94646950884,19661.2065498678,6553.73551662259,2392113.46356725,196612.065498678,"BOGOTA",2019-08-01,3
"31 a 50 años",0,1,8401.04992163709,19769.3809332818,6589.79364442727,2405274.68021595,197693.809332818,"BOGOTA",2019-09-01,1
"31 a 50 años",1,2,5854.08277687298,19769.3809332818,6589.79364442727,2405274.68021595,197693.809332818,"BOGOTA",2019-09-01,2
"9 a 13 años",1,3,5514.24823477173,19769.3809332818,6589.79364442727,2405274.68021595,197693.809332818,"BOGOTA",2019-09-01,3
"31 a 50 años",0,1,8401.48866078636,19771.4797385568,6590.49324618559,2405530.03485774,197714.797385568,"BOGOTA",2019-10-01,1
"31 a 50 años",1,2,5854.43255941806,19771.4797385568,6590.49324618559,2405530.03485774,197714.797385568,"BOGOTA",2019-10-01,2
"9 a 13 años",1,3,5515.55851835235,19771.4797385568,6590.49324618559,2405530.03485774,197714.797385568,"BOGOTA",2019-10-01,3
"31 a 50 años",0,1,8358.27776979809,19668.6886100253,6556.2295366751,2393023.78088641,196686.886100253,"BOGOTA",2019-11-01,1
"31 a 50 años",1,2,5821.99259478869,19668.6886100253,6556.2295366751,2393023.78088641,196686.886100253,"BOGOTA",2019-11-01,2
"9 a 13 años",1,3,5488.41824543852,19668.6886100253,6556.2295366751,2393023.78088641,196686.886100253,"BOGOTA",2019-11-01,3
