"ciudad","trimestre","fecha","Demo_Group","Sex","person","cost_day","total_household","per_capita","per_capita_year","per_capita_month"
"MEDELLIN","2008Q3",2008-07-01,"9 a 13 años",1,3,1239.0839170081,4377.40461552193,1459.13487184064,532584.228221835,43774.0461552193
"MEDELLIN","2008Q4",2008-10-01,"31 a 50 años",0,1,1836.42049947448,4399.46273512768,1466.4875783759,535267.966107202,43994.6273512769
"MEDELLIN","2008Q4",2008-10-01,"31 a 50 años",1,2,1317.71446786055,4399.46273512768,1466.4875783759,535267.966107202,43994.6273512769
"MEDELLIN","2008Q4",2008-10-01,"9 a 13 años",1,3,1245.32776779265,4399.46273512768,1466.4875783759,535267.966107202,43994.6273512769
"MEDELLIN","2009Q1",2009-01-01,"31 a 50 años",0,1,1814.08149832583,4345.94579653894,1448.64859884631,528756.738578905,43459.4579653894
"MEDELLIN","2009Q1",2009-01-01,"31 a 50 años",1,2,1301.68522781474,4345.94579653894,1448.64859884631,528756.738578905,43459.4579653894
"MEDELLIN","2009Q1",2009-01-01,"9 a 13 años",1,3,1230.17907039838,4345.94579653894,1448.64859884631,528756.738578905,43459.4579653894
"MEDELLIN","2009Q2",2009-04-01,"31 a 50 años",0,1,1820.50965145265,4361.34554847225,1453.78184949075,530630.375064123,43613.4554847225
"MEDELLIN","2009Q2",2009-04-01,"31 a 50 años",1,2,1306.29771737214,4361.34554847225,1453.78184949075,530630.375064123,43613.4554847225
"MEDELLIN","2009Q2",2009-04-01,"9 a 13 años",1,3,1234.53817964746,4361.34554847225,1453.78184949075,530630.375064123,43613.4554847225
"MEDELLIN","2009Q3",2009-07-01,"31 a 50 años",0,1,1824.1780107339,4370.13373721309,1456.7112457377,531699.604694259,43701.3373721309
"MEDELLIN","2009Q3",2009-07-01,"31 a 50 años",1,2,1308.92993047345,4370.13373721309,1456.7112457377,531699.604694259,43701.3373721309
"MEDELLIN","2009Q3",2009-07-01,"9 a 13 años",1,3,1237.02579600574,4370.13373721309,1456.7112457377,531699.604694259,43701.3373721309
"MEDELLIN","2009Q4",2009-10-01,"31 a 50 años",0,1,1830.37159630202,4384.97154201409,1461.65718067136,533504.870945047,43849.7154201409
"MEDELLIN","2009Q4",2009-10-01,"31 a 50 años",1,2,1313.37410723654,4384.97154201409,1461.65718067136,533504.870945047,43849.7154201409
"MEDELLIN","2009Q4",2009-10-01,"9 a 13 años",1,3,1241.22583847553,4384.97154201409,1461.65718067136,533504.870945047,43849.7154201409
"MEDELLIN","2010Q1",2010-01-01,"31 a 50 años",0,1,1846.53994632582,4423.70561922493,1474.56853974164,538217.517005699,44237.0561922493
"MEDELLIN","2010Q1",2010-01-01,"31 a 50 años",1,2,1324.97562701586,4423.70561922493,1474.56853974164,538217.517005699,44237.0561922493
"MEDELLIN","2010Q1",2010-01-01,"9 a 13 años",1,3,1252.19004588325,4423.70561922493,1474.56853974164,538217.517005699,44237.0561922493
"MEDELLIN","2010Q2",2010-04-01,"31 a 50 años",0,1,1843.49348923815,4416.40730468574,1472.13576822858,537329.555403431,44164.0730468574
"MEDELLIN","2010Q2",2010-04-01,"31 a 50 años",1,2,1322.78965676488,4416.40730468574,1472.13576822858,537329.555403431,44164.0730468574
"MEDELLIN","2010Q2",2010-04-01,"9 a 13 años",1,3,1250.12415868271,4416.40730468574,1472.13576822858,537329.555403431,44164.0730468574
"MEDELLIN","2010Q3",2010-07-01,"31 a 50 años",0,1,1837.24405016679,4401.43569316334,1467.14523105445,535508.009334873,44014.3569316334
"MEDELLIN","2010Q3",2010-07-01,"31 a 50 años",1,2,1318.30540259613,4401.43569316334,1467.14523105445,535508.009334873,44014.3569316334
"MEDELLIN","2010Q3",2010-07-01,"9 a 13 años",1,3,1245.88624040042,4401.43569316334,1467.14523105445,535508.009334873,44014.3569316334
"MEDELLIN","2010Q4",2010-10-01,"31 a 50 años",0,1,1840.13162935691,4408.35338823661,1469.4511294122,536349.662235454,44083.5338823661
