"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha","person"
"9 a 13 años",1,3,1229.71751316903,4344.31521872388,1448.10507290796,528558.351611406,43443.1521872388,"CALI",2010-08-01,3
"31 a 50 años",0,1,1816.20922257457,4351.04312775782,1450.34770925261,529376.913877201,43510.4312775782,"CALI",2010-09-01,1
"31 a 50 años",1,2,1303.21196585049,4351.04312775782,1450.34770925261,529376.913877201,43510.4312775782,"CALI",2010-09-01,2
"9 a 13 años",1,3,1231.62193933276,4351.04312775782,1450.34770925261,529376.913877201,43510.4312775782,"CALI",2010-09-01,3
"31 a 50 años",0,1,1807.38611287055,4329.90584337122,1443.30194779041,526805.210943498,43299.0584337122,"CALI",2010-10-01,1
"31 a 50 años",1,2,1296.88098701866,4329.90584337122,1443.30194779041,526805.210943498,43299.0584337122,"CALI",2010-10-01,2
"9 a 13 años",1,3,1225.63874348201,4329.90584337122,1443.30194779041,526805.210943498,43299.0584337122,"CALI",2010-10-01,3
"31 a 50 años",0,1,1820.92036919855,4362.32949382586,1454.10983127529,530750.08841548,43623.2949382586,"CALI",2010-11-01,1
"31 a 50 años",1,2,1306.59242586409,4362.32949382586,1454.10983127529,530750.08841548,43623.2949382586,"CALI",2010-11-01,2
"9 a 13 años",1,3,1234.81669876322,4362.32949382586,1454.10983127529,530750.08841548,43623.2949382586,"CALI",2010-11-01,3
"31 a 50 años",0,1,1817.16155802931,4353.32461195258,1451.10820398419,529654.494454231,43533.2461195258,"CALI",2010-12-01,1
"31 a 50 años",1,2,1303.89530945688,4353.32461195258,1451.10820398419,529654.494454231,43533.2461195258,"CALI",2010-12-01,2
"9 a 13 años",1,3,1232.26774446638,4353.32461195258,1451.10820398419,529654.494454231,43533.2461195258,"CALI",2010-12-01,3
"31 a 50 años",0,1,1810.13576211827,4336.49310342603,1445.49770114201,527606.660916834,43364.9310342603,"CALI",2011-01-01,1
"31 a 50 años",1,2,1298.85398426864,4336.49310342603,1445.49770114201,527606.660916834,43364.9310342603,"CALI",2011-01-01,2
"9 a 13 años",1,3,1227.50335703912,4336.49310342603,1445.49770114201,527606.660916834,43364.9310342603,"CALI",2011-01-01,3
"31 a 50 años",0,1,1805.50500425903,4325.39932253927,1441.79977417976,526256.917575611,43253.9932253927,"CALI",2011-02-01,1
"31 a 50 años",1,2,1295.53120681651,4325.39932253927,1441.79977417976,526256.917575611,43253.9932253927,"CALI",2011-02-01,2
"9 a 13 años",1,3,1224.36311146373,4325.39932253927,1441.79977417976,526256.917575611,43253.9932253927,"CALI",2011-02-01,3
"31 a 50 años",0,1,1809.05884431835,4333.9131606891,1444.6377202297,527292.767883841,43339.131606891,"CALI",2011-03-01,1
"31 a 50 años",1,2,1298.08124721519,4333.9131606891,1444.6377202297,527292.767883841,43339.131606891,"CALI",2011-03-01,2
"9 a 13 años",1,3,1226.77306915557,4333.9131606891,1444.6377202297,527292.767883841,43339.131606891,"CALI",2011-03-01,3
"31 a 50 años",0,1,1809.57998683577,4335.16164767003,1445.05388255668,527444.667133187,43351.6164767003,"CALI",2011-04-01,1
"31 a 50 años",1,2,1298.45519045707,4335.16164767003,1445.05388255668,527444.667133187,43351.6164767003,"CALI",2011-04-01,2
"9 a 13 años",1,3,1227.12647037719,4335.16164767003,1445.05388255668,527444.667133187,43351.6164767003,"CALI",2011-04-01,3
"31 a 50 años",0,1,1815.5309027661,4349.41809540782,1449.80603180261,529179.201607951,43494.1809540782,"CALI",2011-05-01,1
"31 a 50 años",1,2,1302.72524081899,4349.41809540782,1449.80603180261,529179.201607951,43494.1809540782,"CALI",2011-05-01,2
"9 a 13 años",1,3,1231.16195182273,4349.41809540782,1449.80603180261,529179.201607951,43494.1809540782,"CALI",2011-05-01,3
"31 a 50 años",0,1,1817.38514854016,4353.86026166935,1451.28675388978,529719.665169771,43538.6026166935,"CALI",2011-06-01,1
"31 a 50 años",1,2,1304.05574572467,4353.86026166935,1451.28675388978,529719.665169771,43538.6026166935,"CALI",2011-06-01,2
"9 a 13 años",1,3,1232.41936740452,4353.86026166935,1451.28675388978,529719.665169771,43538.6026166935,"CALI",2011-06-01,3
"31 a 50 años",0,1,1829.20381643606,4382.17392349231,1460.7246411641,533164.494024898,43821.7392349231,"CALI",2011-07-01,1
"31 a 50 años",1,2,1312.53617255596,4382.17392349231,1460.7246411641,533164.494024898,43821.7392349231,"CALI",2011-07-01,2
"9 a 13 años",1,3,1240.43393450029,4382.17392349231,1460.7246411641,533164.494024898,43821.7392349231,"CALI",2011-07-01,3
"31 a 50 años",0,1,1829.25330815975,4382.29248947115,1460.76416315705,533178.919552323,43822.9248947115,"CALI",2011-08-01,1
"31 a 50 años",1,2,1312.57168509808,4382.29248947115,1460.76416315705,533178.919552323,43822.9248947115,"CALI",2011-08-01,2
"9 a 13 años",1,3,1240.46749621331,4382.29248947115,1460.76416315705,533178.919552323,43822.9248947115,"CALI",2011-08-01,3
"31 a 50 años",0,1,1824.79441019811,4371.61042867539,1457.20347622513,531879.268822172,43716.1042867539,"CALI",2011-09-01,1
"31 a 50 años",1,2,1309.37222486746,4371.61042867539,1457.20347622513,531879.268822172,43716.1042867539,"CALI",2011-09-01,2
"9 a 13 años",1,3,1237.44379360981,4371.61042867539,1457.20347622513,531879.268822172,43716.1042867539,"CALI",2011-09-01,3
"31 a 50 años",0,1,1818.64742041318,4356.88425212716,1452.29475070905,530087.584008805,43568.8425212716,"CALI",2011-10-01,1
"31 a 50 años",1,2,1304.96148267867,4356.88425212716,1452.29475070905,530087.584008805,43568.8425212716,"CALI",2011-10-01,2
"9 a 13 años",1,3,1233.27534903532,4356.88425212716,1452.29475070905,530087.584008805,43568.8425212716,"CALI",2011-10-01,3
"31 a 50 años",0,1,1819.33283200486,4358.52627406969,1452.84209135656,530287.363345146,43585.2627406969,"CALI",2011-11-01,1
"31 a 50 años",1,2,1305.45329638422,4358.52627406969,1452.84209135656,530287.363345146,43585.2627406969,"CALI",2011-11-01,2
"9 a 13 años",1,3,1233.7401456806,4358.52627406969,1452.84209135656,530287.363345146,43585.2627406969,"CALI",2011-11-01,3
"31 a 50 años",0,1,1819.33023275389,4358.5200471147,1452.8400157049,530286.605732289,43585.200471147,"CALI",2011-12-01,1
"31 a 50 años",1,2,1305.45143130451,4358.5200471147,1452.8400157049,530286.605732289,43585.200471147,"CALI",2011-12-01,2
"9 a 13 años",1,3,1233.7383830563,4358.5200471147,1452.8400157049,530286.605732289,43585.200471147,"CALI",2011-12-01,3
"31 a 50 años",0,1,1802.92948642206,4319.22922437786,1439.74307479262,525506.222299306,43192.2922437786,"CALI",2012-01-01,1
"31 a 50 años",1,2,1293.6831567011,4319.22922437786,1439.74307479262,525506.222299306,43192.2922437786,"CALI",2012-01-01,2
"9 a 13 años",1,3,1222.6165812547,4319.22922437786,1439.74307479262,525506.222299306,43192.2922437786,"CALI",2012-01-01,3
"31 a 50 años",0,1,1822.41967348644,4365.92133640499,1455.307112135,531187.095929274,43659.2133640499,"CALI",2012-02-01,1
"31 a 50 años",1,2,1307.66824425778,4365.92133640499,1455.307112135,531187.095929274,43659.2133640499,"CALI",2012-02-01,2
"9 a 13 años",1,3,1235.83341866077,4365.92133640499,1455.307112135,531187.095929274,43659.2133640499,"CALI",2012-02-01,3
