alimento_sipsa,fecha,sample,obs_level,fit_level,lwr_level,upr_level,mape_food
Café molido,2016-12-01,test,7749.149999999999,7646.514384199369,7517.839767733071,7777.39138292364,2.0131600433235874
Café molido,2017-01-01,test,7783.39,7668.835550841651,7556.750656685447,7782.582935143257,2.0131600433235874
Café molido,2017-02-01,test,7803.430000000005,7561.155551758603,7451.430966275005,7672.4958651089755,2.0131600433235874
Café molido,2017-03-01,test,7649.990000000002,7572.474029189402,7461.737012357407,7684.854455173521,2.0131600433235874
Café molido,2017-04-01,test,7737.180000000001,7611.4169739317995,7498.323420791553,7726.2162619469145,2.0131600433235874
Café molido,2017-05-01,test,7785.160000000006,7668.296379776244,7554.588578109324,7783.715653090659,2.0131600433235874
Café molido,2017-06-01,test,7770.9999999999945,7673.91318687026,7560.903130019436,7788.612363754737,2.0131600433235874
Café molido,2017-07-01,test,7709.379999999996,7609.679615792969,7498.943263650879,7722.051203628224,2.0131600433235874
Café molido,2017-08-01,test,7659.989999999999,7657.969995548581,7548.193395737849,7769.343123327557,2.0131600433235874
Café molido,2017-09-01,test,7712.480000000003,7615.77867312848,7488.26698643379,7745.461653965483,2.0131600433235874
Café molido,2017-10-01,test,7702.100000000005,7565.233157548953,7440.689151201055,7691.861810789362,2.0131600433235874
Café molido,2017-11-01,test,7773.369999999994,7616.25557570406,7492.374732065276,7742.184696954345,2.0131600433235874
Café molido,2017-12-01,test,7844.630000000001,7640.54583253532,7513.480743987616,7769.759796854159,2.0131600433235874
Café molido,2018-01-01,test,7862.690000000002,7513.748564050339,7391.956408750105,7637.5474044921575,2.0131600433235874
Café molido,2018-02-01,test,7876.740000000006,7394.305981804342,7267.518359972073,7523.305514257769,2.0131600433235874
Café molido,2018-03-01,test,7886.249999999997,7386.280233456733,7252.469750836902,7522.559564051682,2.0131600433235874
"Carne de cerdo, costilla",2013-01-01,train,4875.87,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2013-02-01,train,4873.680000000002,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2013-03-01,train,4870.430000000003,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2013-04-01,train,4880.169999999996,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2013-05-01,train,4878.439999999998,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2013-06-01,train,4894.020000000003,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2013-07-01,train,4921.26,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2013-08-01,train,4998.359999999999,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2013-09-01,train,5041,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2013-10-01,train,5091.760000000004,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2013-11-01,train,5123.68,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2013-12-01,train,5121.689999999995,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2014-01-01,train,5155.789999999999,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2014-02-01,train,5147.74,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2014-03-01,train,5179.599999999996,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2014-04-01,train,5244.760000000001,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2014-05-01,train,5319.799999999999,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2014-06-01,train,5333.409999999996,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2014-07-01,train,5292.840000000004,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2014-08-01,train,5316.899999999996,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2014-09-01,train,5334.630000000005,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2014-10-01,train,5357.489999999995,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2014-11-01,train,5406.469999999998,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2014-12-01,train,5412.380000000001,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2015-01-01,train,5404.149999999996,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2015-02-01,train,5402.170000000001,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2015-03-01,train,5419.159999999997,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2015-04-01,train,5499.679999999999,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2015-05-01,train,5378.489999999999,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2015-06-01,train,5310.409999999996,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2015-07-01,train,5302.409999999999,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2015-08-01,train,5258.229999999996,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2015-09-01,train,5228.340000000003,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2015-10-01,train,5180.169999999996,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2015-11-01,train,5287.409999999995,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2015-12-01,train,5345.950000000001,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2016-01-01,train,5414.900000000004,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2016-02-01,train,5487.869999999999,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2016-03-01,train,5536.939999999997,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2016-04-01,train,5534.4800000000005,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2016-05-01,train,5503.350000000005,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2016-06-01,train,5253.580000000002,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2016-07-01,train,5359.389999999996,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2016-08-01,train,5378.1699999999955,NA,NA,NA,12.572557483737556
"Carne de cerdo, costilla",2016-09-01,test,5501.520000000003,5269.265618373165,4919.912251919582,5643.425885519911,12.572557483737556
"Carne de cerdo, costilla",2016-10-01,test,5784.649999999998,5283.298297581679,4922.526789191976,5670.510714642832,12.572557483737556
"Carne de cerdo, costilla",2016-11-01,test,5896.599999999997,5351.05522620297,4976.73608094222,5753.528330249135,12.572557483737556
"Carne de cerdo, costilla",2016-12-01,test,6111.629999999999,5389.835012821523,4973.038602843312,5841.563636531477,12.572557483737556
"Carne de cerdo, costilla",2017-01-01,test,6191.859999999998,5267.757510014635,4964.514848492067,5589.522849900271,12.572557483737556
"Carne de cerdo, costilla",2017-02-01,test,6203.740000000005,5278.21188657797,4982.32322319083,5591.672693962819,12.572557483737556
"Carne de cerdo, costilla",2017-03-01,test,6193.569999999999,5295.353154864767,5009.733676178924,5597.256630241427,12.572557483737556
"Carne de cerdo, costilla",2017-04-01,test,6102.229999999999,5328.214656871782,5050.12528389511,5621.617253781566,12.572557483737556
"Carne de cerdo, costilla",2017-05-01,test,6023.700000000004,5304.415912960261,5035.629453758773,5587.54936915855,12.572557483737556
"Carne de cerdo, costilla",2017-06-01,test,6006.340000000002,5228.2471721850925,4971.552034730865,5498.19619758665,12.572557483737556
"Carne de cerdo, costilla",2017-07-01,test,5955.850000000002,5255.7068474829875,4989.001489091439,5536.669918234473,12.572557483737556
"Carne de cerdo, costilla",2017-08-01,test,6003.870000000001,5288.60553609495,4998.425389014952,5595.631891971908,12.572557483737556
"Carne de cerdo, costilla",2017-09-01,test,6151.829999999998,5275.702747899751,4912.8132783445535,5665.397381757555,12.572557483737556
"Carne de cerdo, costilla",2017-10-01,test,6082.359999999995,5288.508613500781,4916.431974956974,5688.744092776085,12.572557483737556
"Carne de cerdo, costilla",2017-11-01,test,6106.8600000000015,5354.415959372802,4972.655459201505,5765.484960944765,12.572557483737556
"Carne de cerdo, costilla",2017-12-01,test,6089.570000000003,5373.662599075902,4994.197375285448,5781.960054603715,12.572557483737556
"Carne de cerdo, costilla",2018-01-01,test,6236.419999999998,5239.696062056368,4984.848678104839,5507.572364898095,12.572557483737556
