deciles,rate,gap,severity,model,ciudad,fecha,year,mes
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 1,100,0.46042315945350704,0.2559298411988478,CoRD,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 10,0,0,0,CoRD,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 2,66.21944781412253,0.04916808827696457,0.005948560738894571,CoRD,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 3,0,0,0,CoRD,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 4,0,0,0,CoRD,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 5,0,0,0,CoRD,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 6,0,0,0,CoRD,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 7,0,0,0,CoRD,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 8,0,0,0,CoRD,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 9,0,0,0,CoRD,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 1,50.296247324298115,0.16219115551765526,0.07779462617320769,CoCA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 1,100,0.4021929495045706,0.21629671522800925,CoNA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 2,4.471885205917473,0.001383700240730753,5.2398072278187994e-5,CoNA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 3,0,0,0,CoNA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 1,100,0.5999534378297027,0.3843668805361873,CoRD,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 10,0,0,0,CoRD,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 2,100,0.17218796586578175,0.0380631569502686,CoRD,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 3,34.73682740746637,0.015137361795190445,0.0010618561860206497,CoRD,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 4,0,0,0,CoRD,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 5,0,0,0,CoRD,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 6,0,0,0,CoRD,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 7,0,0,0,CoRD,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 8,0,0,0,CoRD,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 9,0,0,0,CoRD,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 1,21.40672595183812,0.11178315479312001,0.07794369196188472,CoCA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 1,69.45961348336535,0.21707372065708083,0.12979760313307429,CoNA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 2,0,0,0,CoNA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 3,0,0,0,CoNA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 1,100,0.4574878123688364,0.2534051108429977,CoRD,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 10,0,0,0,CoRD,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 2,48.48042379760008,0.045689008979435175,0.006385576763936171,CoRD,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 3,0,0,0,CoRD,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 4,0,0,0,CoRD,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 5,0,0,0,CoRD,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 6,0,0,0,CoRD,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 7,0,0,0,CoRD,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 8,0,0,0,CoRD,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 9,0,0,0,CoRD,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 1,19.8915325921309,0.1067317887804551,0.08354821305204238,CoCA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2019-08-01,2019,08
