decile_groups,food_per_capita_avg,threshold_1,threshold_2,threshold_3,ratio_1,ratio_2,ratio_3,ciudad,fecha,year,mes
Decil 7,366846.6844807033,68613.0938716067,163837.185832751,228407.13840373,0.18703479348255048,0.4466094223113228,0.622622877802633,CALI,2024-01-01,2024,01
Decil 8,499441.46043166675,68613.0938716067,163837.185832751,228407.13840373,0.13737965168591426,0.3280408192206284,0.45732514518582007,CALI,2024-01-01,2024,01
Decil 9,540814.6738793801,68613.0938716067,163837.185832751,228407.13840373,0.12686988202341148,0.30294515616137335,0.42233901821730613,CALI,2024-01-01,2024,01
Decil 10,1429453.3365918207,68613.0938716067,163837.185832751,228407.13840373,0.04799953388838681,0.1146152739923504,0.15978635507494812,CALI,2024-01-01,2024,01
Decil 1,54836.101221585115,67121.5048743766,163265.969859971,231314.223971236,1.2240386055738692,2.9773446000516293,4.218283554414767,CALI,2024-02-01,2024,02
Decil 2,127482.88309329595,67121.5048743766,163265.969859971,231314.223971236,0.5265138601019478,1.2806893435292632,1.8144728010422626,CALI,2024-02-01,2024,02
Decil 3,166745.99776179035,67121.5048743766,163265.969859971,231314.223971236,0.40253742683686417,0.9791297665399391,1.3872250433361908,CALI,2024-02-01,2024,02
Decil 4,209257.10799680202,67121.5048743766,163265.969859971,231314.223971236,0.3207609314537711,0.7802170804275194,1.1054067705779966,CALI,2024-02-01,2024,02
Decil 5,251401.46957063832,67121.5048743766,163265.969859971,231314.223971236,0.26698930992333325,0.6494232915138025,0.920098933257197,CALI,2024-02-01,2024,02
Decil 6,318334.4065487429,67121.5048743766,163265.969859971,231314.223971236,0.21085218403527817,0.5128756631431606,0.7266390915108873,CALI,2024-02-01,2024,02
Decil 7,366773.2467292123,67121.5048743766,163265.969859971,231314.223971236,0.1830054549314831,0.4451414363395753,0.6306736547281887,CALI,2024-02-01,2024,02
Decil 8,479650.8185486493,67121.5048743766,163265.969859971,231314.223971236,0.13993826817074156,0.3403850541816838,0.4822554554814642,CALI,2024-02-01,2024,02
Decil 9,530298.1115668576,67121.5048743766,163265.969859971,231314.223971236,0.1265731546281666,0.30787582738617236,0.4361965824991873,CALI,2024-02-01,2024,02
Decil 10,1235526.096610997,67121.5048743766,163265.969859971,231314.223971236,0.05432625426406486,0.13214287444660502,0.18721921342310976,CALI,2024-02-01,2024,02
Decil 1,61920.203586135154,66007.921308062,163044.784543906,235863.183864572,1.066015896027224,2.6331435476806817,3.8091474220763906,CALI,2024-03-01,2024,03
Decil 2,125753.63701619983,66007.921308062,163044.784543906,235863.183864572,0.5248987057094716,1.2965413041922775,1.8755973144075955,CALI,2024-03-01,2024,03
Decil 3,164023.8064398706,66007.921308062,163044.784543906,235863.183864572,0.40242890797842695,0.9940312207281722,1.4379814063822314,CALI,2024-03-01,2024,03
Decil 4,212730.92810066286,66007.921308062,163044.784543906,235863.183864572,0.3102883153728709,0.7664366719011082,1.1087395047370032,CALI,2024-03-01,2024,03
Decil 5,255813.47552514382,66007.921308062,163044.784543906,235863.183864572,0.2580314472197306,0.6373580758761881,0.9220123505236888,CALI,2024-03-01,2024,03
Decil 6,312795.73271066917,66007.921308062,163044.784543906,235863.183864572,0.21102564519036524,0.521250028352272,0.7540485984914043,CALI,2024-03-01,2024,03
Decil 7,358216.63982308464,66007.921308062,163044.784543906,235863.183864572,0.18426816057640946,0.4551569257766201,0.6584372629397106,CALI,2024-03-01,2024,03
Decil 8,475027.1584076381,66007.921308062,163044.784543906,235863.183864572,0.1389560999613799,0.3432325534616935,0.49652568214251286,CALI,2024-03-01,2024,03
Decil 9,574217.7835965095,66007.921308062,163044.784543906,235863.183864572,0.11495276390541806,0.2839424155809045,0.41075562374137126,CALI,2024-03-01,2024,03
Decil 10,1375232.3491926652,66007.921308062,163044.784543906,235863.183864572,0.04799765024929218,0.11855799104756515,0.17150787937982717,CALI,2024-03-01,2024,03
Decil 1,51516.73075723628,64419.2768623602,161749.72258692,240300.641175183,1.2504535112277397,3.1397513042731244,4.664516510326682,CALI,2024-04-01,2024,04
Decil 2,134868.87291560843,64419.2768623602,161749.72258692,240300.641175183,0.477643769609236,1.199310998084278,1.7817353699214677,CALI,2024-04-01,2024,04
Decil 3,178614.05235058593,64419.2768623602,161749.72258692,240300.641175183,0.36066186290828467,0.9055822901852961,1.3453624617592677,CALI,2024-04-01,2024,04
Decil 4,225362.6359702503,64419.2768623602,161749.72258692,240300.641175183,0.2858471928366336,0.7177308780159648,1.0662843028109799,CALI,2024-04-01,2024,04
Decil 5,267348.3115096455,64419.2768623602,161749.72258692,240300.641175183,0.24095636324987996,0.6050149397748649,0.8988298441769412,CALI,2024-04-01,2024,04
Decil 6,319816.041912603,64419.2768623602,161749.72258692,240300.641175183,0.20142603378214602,0.5057586280525658,0.7513714438403644,CALI,2024-04-01,2024,04
Decil 7,360392.0870841161,64419.2768623602,161749.72258692,240300.641175183,0.17874775604416818,0.4488159656767584,0.6667755752336938,CALI,2024-04-01,2024,04
Decil 8,458801.49967925483,64419.2768623602,161749.72258692,240300.641175183,0.14040772950261782,0.35254837375204345,0.5237573140959121,CALI,2024-04-01,2024,04
Decil 9,537450.4024063719,64419.2768623602,161749.72258692,240300.641175183,0.11986087753201105,0.3009574871703591,0.447112217423719,CALI,2024-04-01,2024,04
Decil 10,1422412.7709794892,64419.2768623602,161749.72258692,240300.641175183,0.045288736277304634,0.11371503819917009,0.1689387539804703,CALI,2024-04-01,2024,04
Decil 1,80765.26005733195,62682.4951532324,158504.878965046,237345.4359699,0.7761071419659475,1.9625378393201467,2.9387070109279434,CALI,2024-05-01,2024,05
Decil 2,146237.7565708113,62682.4951532324,158504.878965046,237345.4359699,0.42863414088878105,1.0838847824384854,1.6230106474245076,CALI,2024-05-01,2024,05
Decil 3,190417.7261048444,62682.4951532324,158504.878965046,237345.4359699,0.3291841386590201,0.8324061115915904,1.246446120458434,CALI,2024-05-01,2024,05
Decil 4,241310.49997558343,62682.4951532324,158504.878965046,237345.4359699,0.25975867257982893,0.6568503193233781,0.9835686221441478,CALI,2024-05-01,2024,05
Decil 5,285379.6164876885,62682.4951532324,158504.878965046,237345.4359699,0.21964601370167083,0.5554176605738204,0.8316832116148676,CALI,2024-05-01,2024,05
Decil 6,342827.7296234931,62682.4951532324,158504.878965046,237345.4359699,0.18283962975244966,0.46234556095891743,0.6923169144764401,CALI,2024-05-01,2024,05
Decil 7,393305.1436898077,62682.4951532324,158504.878965046,237345.4359699,0.15937369790075487,0.4030073888127326,0.6034638493237959,CALI,2024-05-01,2024,05
Decil 8,515824.2412607641,62682.4951532324,158504.878965046,237345.4359699,0.12151909534151689,0.3072846645935688,0.4601285030532619,CALI,2024-05-01,2024,05
Decil 9,666512.0030180576,62682.4951532324,158504.878965046,237345.4359699,0.09404556087421904,0.23781248986862083,0.3561007677208623,CALI,2024-05-01,2024,05
Decil 10,1575588.3304644125,62682.4951532324,158504.878965046,237345.4359699,0.03978354874890221,0.10060043978513468,0.15063924464326367,CALI,2024-05-01,2024,05
Decil 1,54537.4574590867,62064.4051921497,158328.034644883,235899.276853857,1.1380142764944556,2.9031062690016065,4.3254542445589,CALI,2024-06-01,2024,06
Decil 2,137944.23089128025,62064.4051921497,158328.034644883,235899.276853857,0.44992389164187163,1.147768439621575,1.7101061445605457,CALI,2024-06-01,2024,06
Decil 3,181837.78048878215,62064.4051921497,158328.034644883,235899.276853857,0.3413174370327213,0.8707103343391859,1.2973061825752432,CALI,2024-06-01,2024,06
Decil 4,223632.25285444572,62064.4051921497,158328.034644883,235899.276853857,0.2775288644636837,0.7079839004615005,1.0548535546319227,CALI,2024-06-01,2024,06
