alimento_sipsa,n_test,RMSE,MAPE,method
Cebolla cabezona blanca pastusa,19,618.1243148752732,41.7117955383219,M2 (SARIMAX)
Cebolla cabezona roja importada,12,1051.4917160051864,56.990408900571495,M2 (SARIMAX)
Curuba,19,331.58421266374637,20.844158727557428,M2 (SARIMAX)
Fríjol verde cargamanto,19,723.0378751609229,14.727784471350198,M2 (SARIMAX)
Habichuela,19,365.9839781681042,21.534106830331993,M2 (SARIMAX)
Harina de trigo,19,60.739064186076995,3.837452765369293,M2 (SARIMAX)
Harina precocida de maíz,19,32.071330726090025,1.7284474453870762,M2 (SARIMAX)
Huevo blanco extra,12,51.9521381791474,1.4730368466927175,M2 (SARIMAX)
Huevo rojo A,19,129.15635280111303,3.659055125414551,M2 (SARIMAX)
Huevo rojo AA,19,117.18591091180218,3.318497365951524,M2 (SARIMAX)
Huevo rojo extra,15,53.64442728588969,1.40260476129567,M2 (SARIMAX)
Leche en polvo,19,216.00705381525484,1.82627113119688,M2 (SARIMAX)
Lechuga Batavia,19,215.186235155888,22.527097334729156,M2 (SARIMAX)
Lenteja importada,19,1248.8033792599877,46.26434196243679,M2 (SARIMAX)
Limón Tahití,19,323.5408247697808,18.62315049320151,M2 (SARIMAX)
Lomitos de atún en lata,19,2544.770685033261,16.11432366164676,M2 (SARIMAX)
Lulo,19,169.83751804537127,8.789985267033593,M2 (SARIMAX)
Mango común,12,477.9062388377434,19.346553591400763,M2 (SARIMAX)
Manzana roja importada,19,395.9969052678175,11.230404657949965,M2 (SARIMAX)
Manzana royal gala importada,19,741.7283149276662,19.096659521562323,M2 (SARIMAX)
Manzana verde importada,19,472.2552373187887,11.503741552652311,M2 (SARIMAX)
Maracuyá,19,306.8056287664562,13.376351681960458,M2 (SARIMAX)
Margarina,19,93.43971036861532,2.177679681835007,M2 (SARIMAX)
Mora de Castilla,19,986.3253880772722,39.39656547257761,M2 (SARIMAX)
Naranja Sweet,16,70.92012575854805,7.77112782171671,M2 (SARIMAX)
Naranja Valencia,16,138.55623928398256,11.853925277075588,M2 (SARIMAX)
Panela redonda morena,19,470.150756107977,21.724246794831515,M2 (SARIMAX)
Papa Betina,16,439.9146211216651,58.36302189470145,M2 (SARIMAX)
Papa capira,19,271.6880174065732,43.067916884727225,M2 (SARIMAX)
Papa criolla limpia,19,293.9828420468891,21.31429171137018,M2 (SARIMAX)
Papa criolla sucia,19,281.7718193314078,20.10949335487431,M2 (SARIMAX)
Papa nevada,16,325.11385962912453,24.426079277280728,M2 (SARIMAX)
Papa parda pastusa,19,336.26090953295574,52.05202437902133,M2 (SARIMAX)
Papa suprema,19,320.59235065538513,50.40378469244702,M2 (SARIMAX)
Papa única,19,332.40305006854226,52.291977195354875,M2 (SARIMAX)
Pastas alimenticias,19,160.43850729406515,4.64956207044954,M2 (SARIMAX)
Pechuga de pollo,19,143.16826398316613,2.877116991825415,M2 (SARIMAX)
Piña gold,19,213.3293203522152,26.526475767255125,M2 (SARIMAX)
Piña manzana,19,70.43740700239186,8.77494686238388,M2 (SARIMAX)
Pollo entero congelado sin vísceras,19,191.8641390072882,3.466784601192327,M2 (SARIMAX)
Queso campesino,19,151.890687492118,1.4865360148553717,M2 (SARIMAX)
Repollo blanco,19,126.6479563857745,11.323165465226651,M2 (SARIMAX)
Sal yodada,19,24.64003270684397,4.1210104623713155,M2 (SARIMAX)
Tilapia roja entera congelada,19,933.5223861915769,5.770366302259084,M2 (SARIMAX)
Tomate de árbol,19,154.1358997587899,11.21421867787254,M2 (SARIMAX)
Tomate larga vida,19,202.105544517818,16.504349281110134,M2 (SARIMAX)
Zanahoria,19,460.37586016795734,27.98664233943174,M2 (SARIMAX)
Aguacate papelillo,19,605.845642344859,22.149907333960233,M3 (ECM)
Ahuyama,19,676.5617663948041,73.16009035164491,M3 (ECM)
Arracacha amarilla,19,Inf,Inf,M3 (ECM)
Arroz de primera,19,474.5711813743388,26.394808885478906,M3 (ECM)
Arveja verde en vaina pastusa,19,5397220787276445e11,21554849576142072e8,M3 (ECM)
Arveja verde seca importada,19,53.42158705612003,3.5692715444064023,M3 (ECM)
Avena en hojuelas,19,248.19108421416328,3.516241910829675,M3 (ECM)
Avena molida,19,332.62215880501157,4.696229151836512,M3 (ECM)
Azúcar morena,19,292.90730995379687,14.781791047925466,M3 (ECM)
Azúcar sulfitada,19,1232.2558683292875,70.81952865007563,M3 (ECM)
Banano criollo,19,566.6413203721975,56.63124565466974,M3 (ECM)
Bocachico importado congelado,19,797235345754741100,2567839452552626.5,M3 (ECM)
Café molido,19,395.7027176265628,4.489552281512137,M3 (ECM)
"Carne de cerdo, costilla",19,3988.434920632458,55.898962102274474,M3 (ECM)
"Carne de cerdo, espinazo",19,1082.6514117386405,16.961299590975294,M3 (ECM)
"Carne de res, cadera",19,1788.854444981471,18.065582303729308,M3 (ECM)
"Carne de res, costilla",19,1254.0687132885291,24.43079993010683,M3 (ECM)
"Carne de res, falda",19,925.0895110941548,8.84742090511217,M3 (ECM)
"Carne de res, lomo de brazo",13,NA,NA,M3 (ECM)
"Carne de res, lomo fino",13,NA,NA,M3 (ECM)
"Carne de res, pecho",19,2555.298755821244,24.03065800081041,M3 (ECM)
"Carne de res, punta de anca",19,794.4771638150576,7.791314007089521,M3 (ECM)
Cebolla cabezona blanca bogotana,19,Inf,Inf,M3 (ECM)
Cebolla cabezona blanca pastusa,19,1692.0634815366288,119.41002922983115,M3 (ECM)
Cebolla cabezona roja importada,12,NA,NA,M3 (ECM)
Curuba,19,611.6385217072951,30.07596510646352,M3 (ECM)
Fríjol verde cargamanto,19,1175.0075550374331,18.97723719677261,M3 (ECM)
Habichuela,19,1329.5563133077865,73.43195228957346,M3 (ECM)
Harina de trigo,19,128.9014063430417,6.7394960494627165,M3 (ECM)
Harina precocida de maíz,19,Inf,Inf,M3 (ECM)
Huevo blanco extra,12,NA,NA,M3 (ECM)
Huevo rojo A,19,511.1822938529086,12.201955652338766,M3 (ECM)
Huevo rojo AA,19,87.0042003536983,2.1723563231828904,M3 (ECM)
Huevo rojo extra,15,NA,NA,M3 (ECM)
Leche en polvo,19,428.4271840584883,2.593333463300736,M3 (ECM)
Lechuga Batavia,19,Inf,Inf,M3 (ECM)
Lenteja importada,19,13504039221199849e22,1405149196624766e21,M3 (ECM)
Limón Tahití,19,1175.1554754786837,96.19989965652648,M3 (ECM)
Lomitos de atún en lata,19,4655.587162254024,23.21025699129453,M3 (ECM)
Lulo,19,2361060273697369e30,4124107288682981e28,M3 (ECM)
Mango común,12,NA,NA,M3 (ECM)
Manzana roja importada,19,1660.628856934021,33.32697366009918,M3 (ECM)
Manzana royal gala importada,19,Inf,Inf,M3 (ECM)
Manzana verde importada,19,421.3727869588459,9.067493935859565,M3 (ECM)
Maracuyá,19,23240.78143370612,480.9606127848293,M3 (ECM)
Margarina,19,271.88190984838826,6.686814407380071,M3 (ECM)
