deciles,rate,gap,severity,model,ciudad,fecha,escenario
Decil 1,100,0.5693591613810282,0.3739803709944464,CoNA,BOGOTÁ D.C.,2022-05-01,q3
Decil 2,100,0.2310716631763378,0.06164076292392136,CoNA,BOGOTÁ D.C.,2022-05-01,q3
Decil 3,42.857142857142854,0.021047588604737603,0.0013008022323470324,CoNA,BOGOTÁ D.C.,2022-05-01,q3
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q3
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q3
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q3
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q3
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q3
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q3
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q3
Decil 1,42.68292682926829,0.2810428293909267,0.22610229367232873,CoCA,BOGOTÁ D.C.,2022-06-01,q1
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2022-06-01,q1
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2022-06-01,q1
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2022-06-01,q1
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2022-06-01,q1
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2022-06-01,q1
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2022-06-01,q1
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2022-06-01,q1
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2022-06-01,q1
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2022-06-01,q1
Decil 1,100,0.677012449592816,0.500579496954284,CoNA,BOGOTÁ D.C.,2022-06-01,q1
Decil 2,100,0.28797338101605247,0.08898942292480318,CoNA,BOGOTÁ D.C.,2022-06-01,q1
Decil 3,65.1685393258427,0.07092302031903565,0.010533656711568693,CoNA,BOGOTÁ D.C.,2022-06-01,q1
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2022-06-01,q1
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2022-06-01,q1
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2022-06-01,q1
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2022-06-01,q1
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2022-06-01,q1
