ciudad,fecha,model,escenario,n_deciles,sum_rate,incidence
CALI,2022-03-01,CoCA,q1,10,29.213483146067414,2.9213483146067416
CALI,2022-03-01,CoCA,q2,10,30.337078651685395,3.0337078651685396
CALI,2022-03-01,CoCA,q3,10,30.337078651685395,3.0337078651685396
CALI,2022-03-01,CoNA,q1,10,124.46808510638297,12.446808510638299
CALI,2022-03-01,CoNA,q2,10,134.04255319148936,13.404255319148938
CALI,2022-03-01,CoNA,q3,10,145.74468085106383,14.574468085106384
CALI,2022-04-01,CoCA,q1,10,24.742268041237114,2.4742268041237114
CALI,2022-04-01,CoCA,q2,10,26.804123711340207,2.680412371134021
CALI,2022-04-01,CoCA,q3,10,27.835051546391753,2.7835051546391756
CALI,2022-04-01,CoNA,q1,10,102.7341999103541,10.27341999103541
CALI,2022-04-01,CoNA,q2,10,133.75168086060063,13.375168086060064
CALI,2022-04-01,CoNA,q3,10,158.69565217391306,15.869565217391306
CALI,2022-05-01,CoCA,q1,10,34.04255319148936,3.404255319148936
CALI,2022-05-01,CoCA,q2,10,38.297872340425535,3.829787234042554
CALI,2022-05-01,CoCA,q3,10,38.297872340425535,3.829787234042554
CALI,2022-05-01,CoNA,q1,10,124.17582417582418,12.417582417582418
CALI,2022-05-01,CoNA,q2,10,136.26373626373626,13.626373626373628
CALI,2022-05-01,CoNA,q3,10,156.12942612942612,15.612942612942613
CALI,2022-06-01,CoCA,q1,10,18.681318681318682,1.8681318681318684
CALI,2022-06-01,CoCA,q2,10,23.076923076923077,2.307692307692308
CALI,2022-06-01,CoCA,q3,10,23.076923076923077,2.307692307692308
CALI,2022-06-01,CoNA,q1,10,131.89102564102564,13.189102564102564
CALI,2022-06-01,CoNA,q2,10,154.16666666666666,15.416666666666666
CALI,2022-06-01,CoNA,q3,10,167.70833333333334,16.770833333333336
CALI,2022-07-01,CoCA,q1,10,30.48780487804878,3.048780487804878
CALI,2022-07-01,CoCA,q2,10,32.926829268292686,3.2926829268292686
CALI,2022-07-01,CoCA,q3,10,34.146341463414636,3.414634146341464
CALI,2022-07-01,CoNA,q1,10,127.71084337349397,12.771084337349398
CALI,2022-07-01,CoNA,q2,10,138.55421686746988,13.855421686746988
CALI,2022-07-01,CoNA,q3,10,155.42168674698794,15.542168674698795
CALI,2022-08-01,CoCA,q1,10,20.224719101123593,2.0224719101123596
CALI,2022-08-01,CoCA,q2,10,21.34831460674157,2.134831460674157
CALI,2022-08-01,CoCA,q3,10,25.842696629213485,2.584269662921349
CALI,2022-08-01,CoNA,q1,10,115.26114335103098,11.526114335103099
CALI,2022-08-01,CoNA,q2,10,134.06593406593407,13.406593406593409
CALI,2022-08-01,CoNA,q3,10,147.25274725274724,14.725274725274724
CALI,2022-09-01,CoCA,q1,10,34.78260869565217,3.4782608695652173
CALI,2022-09-01,CoCA,q2,10,39.130434782608695,3.9130434782608696
CALI,2022-09-01,CoCA,q3,10,40.21739130434783,4.021739130434783
CALI,2022-09-01,CoNA,q1,10,140.74074074074073,14.074074074074074
CALI,2022-09-01,CoNA,q2,10,161.7283950617284,16.172839506172842
CALI,2022-09-01,CoNA,q3,10,180.2469135802469,18.024691358024693
CALI,2022-10-01,CoCA,q1,10,27.77777777777778,2.777777777777778
CALI,2022-10-01,CoCA,q2,10,28.888888888888886,2.888888888888889
CALI,2022-10-01,CoCA,q3,10,28.888888888888886,2.888888888888889
CALI,2022-10-01,CoNA,q1,10,95.96205962059621,9.59620596205962
CALI,2022-10-01,CoNA,q2,10,123.03523035230353,12.303523035230354
CALI,2022-10-01,CoNA,q3,10,142.00542005420056,14.200542005420056
CALI,2022-11-01,CoCA,q1,10,35.36585365853659,3.536585365853659
CALI,2022-11-01,CoCA,q2,10,35.36585365853659,3.536585365853659
CALI,2022-11-01,CoCA,q3,10,35.36585365853659,3.536585365853659
CALI,2022-11-01,CoNA,q1,10,159.03614457831327,15.903614457831328
CALI,2022-11-01,CoNA,q2,10,184.85761226725083,18.485761226725085
CALI,2022-11-01,CoNA,q3,10,205.72289156626505,20.572289156626507
CALI,2022-12-01,CoCA,q1,10,31,3.1
CALI,2022-12-01,CoCA,q2,10,36,3.6
CALI,2022-12-01,CoCA,q3,10,40,4
CALI,2022-12-01,CoNA,q1,10,146.53465346534654,14.653465346534654
CALI,2022-12-01,CoNA,q2,10,160.3960396039604,16.03960396039604
CALI,2022-12-01,CoNA,q3,10,172.75520655513827,17.275520655513827
CALI,2023-01-01,CoCA,q1,10,24.731182795698924,2.4731182795698925
CALI,2023-01-01,CoCA,q2,10,32.25806451612903,3.2258064516129035
CALI,2023-01-01,CoCA,q3,10,32.25806451612903,3.2258064516129035
CALI,2023-01-01,CoNA,q1,10,215.20833333333334,21.520833333333336
CALI,2023-01-01,CoNA,q2,10,231.25,23.125
CALI,2023-01-01,CoNA,q3,10,269.7916666666667,26.97916666666667
CALI,2023-03-01,CoCA,q1,10,32.467532467532465,3.2467532467532467
CALI,2023-03-01,CoCA,q2,10,36.36363636363637,3.6363636363636367
CALI,2023-03-01,CoCA,q3,10,38.961038961038966,3.896103896103897
CALI,2023-03-01,CoNA,q1,10,197.91666666666669,19.79166666666667
CALI,2023-03-01,CoNA,q2,10,250.7924972314507,25.07924972314507
CALI,2023-03-01,CoNA,q3,10,289.3653100775194,28.936531007751938
CALI,2023-04-01,CoCA,q1,10,15.730337078651685,1.5730337078651686
CALI,2023-04-01,CoCA,q2,10,19.101123595505616,1.9101123595505616
CALI,2023-04-01,CoCA,q3,10,20.224719101123593,2.0224719101123596
CALI,2023-04-01,CoNA,q1,10,151.9607843137255,15.19607843137255
CALI,2023-04-01,CoNA,q2,10,169.9142156862745,16.99142156862745
CALI,2023-04-01,CoNA,q3,10,206.43382352941177,20.643382352941178
CALI,2023-05-01,CoCA,q1,10,21.794871794871796,2.1794871794871797
CALI,2023-05-01,CoCA,q2,10,23.076923076923077,2.307692307692308
CALI,2023-05-01,CoCA,q3,10,24.358974358974358,2.435897435897436
CALI,2023-05-01,CoNA,q1,10,148.19277108433735,14.819277108433736
CALI,2023-05-01,CoNA,q2,10,175.5858599232093,17.558585992320932
CALI,2023-05-01,CoNA,q3,10,221.80590493843505,22.180590493843507
CALI,2023-06-01,CoCA,q1,10,26.76056338028169,2.676056338028169
CALI,2023-06-01,CoCA,q2,10,26.76056338028169,2.676056338028169
CALI,2023-06-01,CoCA,q3,10,30.985915492957744,3.0985915492957745
CALI,2023-06-01,CoNA,q1,10,154.16666666666666,15.416666666666666
CALI,2023-06-01,CoNA,q2,10,167.70833333333334,16.770833333333336
CALI,2023-06-01,CoNA,q3,10,197.6010101010101,19.76010101010101
CALI,2023-07-01,CoCA,q1,10,28.947368421052634,2.8947368421052637
CALI,2023-07-01,CoCA,q2,10,30.263157894736842,3.0263157894736845
CALI,2023-07-01,CoCA,q3,10,31.57894736842105,3.1578947368421053
CALI,2023-07-01,CoNA,q1,10,169.5121951219512,16.95121951219512
CALI,2023-07-01,CoNA,q2,10,190.9027193720213,19.09027193720213
CALI,2023-07-01,CoNA,q3,10,218.0850504625736,21.808505046257363
CALI,2023-08-01,CoCA,q1,10,30.681818181818183,3.0681818181818183
CALI,2023-08-01,CoCA,q2,10,36.36363636363637,3.6363636363636367
CALI,2023-08-01,CoCA,q3,10,38.63636363636363,3.8636363636363633
CALI,2023-08-01,CoNA,q1,10,139.02439024390245,13.902439024390246
CALI,2023-08-01,CoNA,q2,10,147.5609756097561,14.756097560975611
CALI,2023-08-01,CoNA,q3,10,158.11776299581177,15.811776299581178
CALI,2023-09-01,CoCA,q1,10,25.842696629213485,2.584269662921349
CALI,2023-09-01,CoCA,q2,10,32.58426966292135,3.2584269662921352
CALI,2023-09-01,CoCA,q3,10,33.70786516853933,3.370786516853933
CALI,2023-09-01,CoNA,q1,10,150.6172839506173,15.06172839506173
CALI,2023-09-01,CoNA,q2,10,166.66666666666666,16.666666666666668
CALI,2023-09-01,CoNA,q3,10,181.48148148148147,18.14814814814815
CALI,2023-10-01,CoCA,q1,10,25.333333333333336,2.5333333333333337
CALI,2023-10-01,CoCA,q2,10,32,3.2
CALI,2023-10-01,CoCA,q3,10,32,3.2
CALI,2023-10-01,CoNA,q1,10,182.6086956521739,18.26086956521739
CALI,2023-10-01,CoNA,q2,10,207.14285714285714,20.714285714285715
CALI,2023-10-01,CoNA,q3,10,240.3174603174603,24.03174603174603
CALI,2023-11-01,CoCA,q1,10,38.666666666666664,3.8666666666666667
CALI,2023-11-01,CoCA,q2,10,38.666666666666664,3.8666666666666667
CALI,2023-11-01,CoCA,q3,10,40,4
CALI,2023-11-01,CoNA,q1,10,142.1686746987952,14.21686746987952
CALI,2023-11-01,CoNA,q2,10,168.54561101549052,16.854561101549052
CALI,2023-11-01,CoNA,q3,10,187.75100401606426,18.775100401606426
CALI,2023-12-01,CoCA,q1,10,35.526315789473685,3.5526315789473686
CALI,2023-12-01,CoCA,q2,10,36.84210526315789,3.6842105263157894
CALI,2023-12-01,CoCA,q3,10,36.84210526315789,3.6842105263157894
CALI,2023-12-01,CoNA,q1,10,178.8961038961039,17.889610389610393
CALI,2023-12-01,CoNA,q2,10,213.45355731225297,21.345355731225297
CALI,2023-12-01,CoNA,q3,10,258.76623376623377,25.876623376623378
MEDELLÍN,2022-01-01,CoCA,q1,10,49.504950495049506,4.950495049504951
MEDELLÍN,2022-01-01,CoCA,q2,10,50.495049504950494,5.0495049504950495
MEDELLÍN,2022-01-01,CoCA,q3,10,51.48514851485149,5.1485148514851495
MEDELLÍN,2022-01-01,CoNA,q1,10,130.6122448979592,13.061224489795919
MEDELLÍN,2022-01-01,CoNA,q2,10,137.75510204081633,13.775510204081634
MEDELLÍN,2022-01-01,CoNA,q3,10,151.0204081632653,15.10204081632653
MEDELLÍN,2022-02-01,CoCA,q1,10,26.08695652173913,2.608695652173913
MEDELLÍN,2022-02-01,CoCA,q2,10,27.82608695652174,2.782608695652174
MEDELLÍN,2022-02-01,CoCA,q3,10,27.82608695652174,2.782608695652174
MEDELLÍN,2022-02-01,CoNA,q1,10,70.43478260869566,7.043478260869566
MEDELLÍN,2022-02-01,CoNA,q2,10,70.43478260869566,7.043478260869566
MEDELLÍN,2022-02-01,CoNA,q3,10,84.93295408370581,8.493295408370582
MEDELLÍN,2022-03-01,CoCA,q1,10,20.689655172413794,2.0689655172413794
