alimento_sipsa,term,estimate,std.error,statistic,p.value,ci_lo,ci_hi
Arveja verde en vaina pastusa,mes_factor8,0.007553933143873777,0.06837653941943586,0.11047551116233575,0.9137195954043676,-0.1264640841182205,0.14157195040596807
Arveja verde en vaina pastusa,mes_factor9,-0.07746352477775097,0.06825942728097675,-1.13483994612037,0.2769341399941471,-0.2112520022484654,0.05632495269296346
Arveja verde en vaina pastusa,mes_factor10,-0.17519230627869933,0.06881467619824634,-2.545856726463299,0.024382956647358744,-0.31006907162726216,-0.040315540930136506
Arveja verde en vaina pastusa,mes_factor11,-0.0783837729491255,0.05592490718129901,-1.4015896833770092,0.18445896494528147,-0.18799659102447158,0.03122904512622056
Arveja verde en vaina pastusa,mes_factor12,0.0070726739110728845,0.05633765143349388,0.12554080141984825,0.902016122937026,-0.10334912289857512,0.11749447072072089
Avena en hojuelas,(Intercept),0.19743130817752236,0.4410503752854558,0.44763890757317965,0.6563472818874045,-0.667027427381971,1.0618900437370158
Avena en hojuelas,ln_wholesale,1.0404057447113022,0.05449494604254653,19.091784105979535,1.2980598398280452e-24,0.933595650467911,1.1472158389546934
Avena en hojuelas,mes_factor2,-0.005764394038243072,0.014438290900723074,-0.3992435169701692,0.6914139997761084,-0.034063444203660295,0.022534656127174153
Avena en hojuelas,mes_factor3,-0.004111140554197477,0.014438422869905234,-0.2847361232760778,0.7770223514494544,-0.03241044937921173,0.02418816827081678
Avena en hojuelas,mes_factor4,0.0033157119134680935,0.015163365259116351,0.21866596608392438,0.8278003675508236,-0.026404483994399958,0.03303590782133614
Avena en hojuelas,mes_factor5,0.009558367431697433,0.015158827596363321,0.6305479345903066,0.5312077350815392,-0.020152934657174677,0.03926966952056954
Avena en hojuelas,mes_factor6,0.0048994946491565695,0.015153788081820418,0.32331814479010423,0.7478027034537323,-0.02480192999121145,0.03460091928952459
Avena en hojuelas,mes_factor7,0.003982486005319054,0.015150018781261244,0.26287003751077265,0.7937309259673753,-0.025711550805952985,0.033676522816591094
Avena en hojuelas,mes_factor8,0.0026214325763063372,0.015147237821361702,0.1730634064918033,0.8633002891523163,-0.0270671535535626,0.032310018706175274
Avena en hojuelas,mes_factor9,-0.004260409053484644,0.01514459763608288,-0.28131543378438617,0.779629430666399,-0.03394382042020709,0.0254230023132378
