alimento_sipsa,articulo_ipc,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
Pastas alimenticias,PASTA PARA SECO,0.0421585695404206,-0.26849270520322666,0.08948893719626838,0.13571027376343547,0.99965421131164,12,57.262714063708174,-86.52542812741635,-59.757106051422305,0.2963059855791537,37,50
Pastas alimenticias,PASTA PARA SOPA,0.009498455929054512,-0.22822191464797248,0.11088956696212857,0.039956424037193704,0.9999996414885479,12,56.43778092206146,-84.87556184412291,-54.87167567464146,0.6148248030524198,50,63
Pechuga de pollo,POLLO DESPRESADO POR LIBRA,0.8723734479743137,0.841743075488149,0.020382798611007606,28.480667297413778,3.297483675411149e-18,12,163.14991978630852,-298.29983957261703,-268.29595340313557,0.020772923960844684,50,63
Piña gold,PIÑAS,0.24949913909544394,0.06937893247835047,0.11026360079922295,1.3851812841067792,0.20435181017536794,12,56.79442038580161,-85.58884077160322,-55.58495460212176,0.6079030830605201,50,63
Piña manzana,PIÑAS,0.735230345398708,0.6716856282943979,0.06549236565224655,11.570282769404907,1.2254437667847796e-10,12,89.61365859632794,-151.22731719265587,-121.22343102317441,0.21446249793637814,50,63
Pollo entero congelado sin vísceras,POLLO ENTERO POR LIBRA,0.8269107119446915,0.7853692828114174,0.04008664769303378,19.90568762792873,5.194611486116874e-15,12,120.53974606576952,-213.07949213153904,-183.07560596205758,0.08034696616327053,50,63
Queso campesino,QUESO CAMPESINO,0.8383788379420831,0.7995897590481831,0.024284360219480404,21.613785680121588,9.994290310447328e-16,12,152.1160247556853,-276.2320495113706,-246.22816334188911,0.029486507563474113,50,63
Repollo blanco,REPOLLO,0.36288457385547557,0.33167892033002955,0.16195015576623392,11.628808656725223,1.823797693094344e-18,12,110.26373698731129,-192.52747397462258,-142.78603978571994,6.42582397341332,245,258
Sal yodada,SAL,0.8159748597650592,0.7718088261086735,0.03976724479137513,18.47516727703895,2.25528883873569e-14,12,121.04372876442925,-214.0874575288585,-184.08357135937703,0.07907168791485762,50,63
Tilapia roja entera congelada,PESCADO DE MAR,0.8428792920161056,0.8051703220999709,0.09134851878807748,22.35222266454591,5.060751772441624e-16,12,68.650503910159685,-109.30100782031937,-79.29712165083791,0.41722759423878725,50,63
Tomate larga vida,TOMATE,0.6270584473863513,0.49543201705212236,0.1451353409175779,4.763925039933922,1.5838363047722157e-4,12,31.63304880514721,-35.26609761029442,-9.364031186353607,0.7161850842308932,34,47
Zanahoria,ZANAHORIA,0.2954891845586151,0.24198203401876317,0.2169546453131573,5.5224242288614365,7.814621011263673e-8,12,25.421318894486582,-22.842637788973164,21.140652002064073,7.4369522634273455,158,171
Lulo,LULOS,0.6075881975803957,0.5073979501541138,0.1415641692551311,6.064344716060788,2.911973956915636e-6,12,39.489727126675675,-50.97945425335135,-21.658630382241945,0.9418994587940841,47,60
Papa roja peruana,PAPA CRIOLLA,1,NA,NA,NA,NA,1,Inf,-Inf,-Inf,0,0,2
Tomate de árbol,TOMATE DE ÁRBOL,0.6246122773927915,0.5326805902236791,0.12599166018900368,6.794308868103229,5.250656756531643e-7,12,47.75600055451796,-67.51200110903592,-37.73211971840464,0.7778210234218874,49,62
"Carne de res, lomo fino",CARNE DE RES SIN HUESO,1,NA,NA,NA,NA,8,Inf,-Inf,-Inf,0,0,9
Arveja verde seca importada,ARVEJA SECA,0.7526711162479199,0.65992278484089,0.033830672738957915,8.115198460496183,1.0640660418823428e-6,12,96.20604768593611,-164.41209537187223,-139.11882051508775,0.03662446137505504,32,45
Fríjol verde cargamanto,FRÍJOL FRESCO,0.8051765103351715,0.7077647655027572,0.08887783313981064,8.26570257744983,6.886875681007004e-6,12,45.06548279574083,-62.130965591481655,-39.578114814462516,0.18958246136707252,24,37
Huevo rojo extra,HUEVOS,0.8580813923789159,0.8120537358531589,0.028917628026266812,18.642734763146905,3.778218930797674e-12,12,113.74589583490315,-199.4917916698063,-172.72346959381227,0.030940480794624674,37,50
Naranja Sweet,NARANJAS,0.2670614587036977,0.035607182504865276,0.15159966029757133,1.153841108877491,0.3492096342238482,12,31.349355742445134,-34.69871148489027,-7.6531526267497085,0.8733333660888829,38,51
Papa Betina,PAPA,0.25001935988161916,0.00678239551890103,0.25871853588507787,1.0278839013497434,0.444945025168486,12,4.181427771396157,19.637144457207686,46.40546653320173,2.4766053899891785,37,50
Mango común,MANGOS,0.7817579640529853,0.6770017867984182,0.18104741099483848,7.462643106508574,1.2926883685163799e-5,12,18.9776931276268,-9.9553862552536,12.970819980915799,0.8194541256983491,25,38
Cebolla cabezona roja importada,CEBOLLA CABEZONA,0.7256081788396428,0.47232342084546686,0.19961519622718504,2.8647921200861513,0.03570135984111258,12,14.01396988355892,-0.02793976711783941,17.585411765182908,0.5180009453426287,13,26
Cebolla cabezona blanca importada,CEBOLLA CABEZONA,0.7901431114754023,0.5964290605296197,0.26166252839816234,4.078914810864966,0.008821344662032295,12,6.976702774783752,14.046594450432496,31.65994598273324,0.8900746239803485,13,26
Limón común,LIMONES,1,1,1.3386940977596888e-15,44229600529726095e12,3.120503782194832e-85,2,297.2778824780494,-586.5557649560988,-585.7668666467539,1.0752611324259765e-29,6,9
Tomate chonto,TOMATE,1,NA,NA,NA,NA,2,Inf,-Inf,-Inf,0,0,3
