alimento_sipsa,term,beta,beta_se,statistic,p.value,n_obs,beta_ci_lo,beta_ci_hi
Piña gold,ln_wholesale,0.38718635856980194,0.11594663587076154,3.3393496556586113,0.00143605036868806,63,0.15993095226310933,0.6144417648764946
Piña manzana,ln_wholesale,0.9840942332921373,0.08739683727881037,11.260066884945893,1.5672736158378186e-16,63,0.812796432225669,1.1553920343586057
Pollo entero congelado sin vísceras,ln_wholesale,1.0182408610113751,0.06193567117842416,16.44029751575677,4.331252217930935e-24,63,0.8968469455016638,1.1396347765210866
Queso campesino,ln_wholesale,0.9495321169929887,0.05493653699825113,17.28416403500673,3.477474732686662e-25,63,0.8418565044764165,1.0572077295095608
Repollo blanco,ln_wholesale,0.5227329857713728,0.06118627901884909,8.543304056949424,1.1865981266547544e-15,258,0.4028078788944286,0.6426580926483171
Sal yodada,ln_wholesale,1.224008713980805,0.08012992324121003,15.275301216703392,1.6181971252134962e-22,63,1.0669540644280333,1.3810633635335765
Tilapia roja entera congelada,ln_wholesale,0.8684655493502148,0.051671855855310395,16.80732257386032,1.4315468028283759e-24,63,0.7671887118738064,0.9697423868266232
Tomate chonto,ln_wholesale,NA,NA,NA,NA,3,NA,NA
Tomate de árbol,ln_wholesale,0.4701734743368769,0.13106332527803582,3.5873763567302888,6.72350507056066e-4,62,0.21328935679192668,0.7270575918818272
Tomate larga vida,ln_wholesale,0.8822607819376588,0.15997792117396845,5.514890901590363,1.6291055694305763e-6,47,0.5687040564366806,1.1958175074386368
Zanahoria,ln_wholesale,0.3104582662342489,0.05665441653664273,5.4798599158364265,1.5232711728221188e-7,171,0.19941560982242912,0.42150092264606864
