codigo_tcac,alimento_sipsa,parte_comestible_percent,energia_kcal,proteina_g,lipidos_g,carbohidratos_totales_g,vitamina_c_mg,folatos_mcg,vitamina_a_er,tiamina_mg,riboflavina_mg,niacina_mg,vitamina_b12_mcg,magnesio_mg,fosforo_mg,sodio_mg,calcio_mg,hierro_mg,zinc_mg
TCAM,"Carne de res, cogote",100,223,20.4,15.1,0.3,0,3,2,0.11,0.21,4.14,2.13,13,182,50,6,1.9,3.5
F107,"Carne de res, costilla",73,287,17.1,23.3,2.3,0,5,5,0.1,0.18,4.1,2.34,16,176,60,9,1.6,3.5
F100,"Carne de res, falda",100,223,21.6,15.1,0.3,0,3,2,0.06,0.17,4.3,2.13,13,182,50,6,1.9,3.5
F100,"Carne de res, lomo de brazo",100,223,21.6,15.1,0.3,0,3,2,0.06,0.17,4.3,2.13,13,182,50,6,1.9,3.5
F100,"Carne de res, lomo fino",100,223,21.6,15.1,0.3,0,3,2,0.06,0.17,4.3,2.13,13,182,50,6,1.9,3.5
F098,"Carne de res, morrillo",100,257,18.4,20.3,0.2,0,6,0,0.09,0.16,3.2,2.22,19,174,58,8,1.5,3.5
F118,"Carne de res, muchacho",100,121,21.8,3.8,0,0,8,0,0.1,0.22,5.7,3.33,14,204,63,20,2.3,6.9
F118,"Carne de res, murillo",100,121,21.8,3.8,0,0,8,0,0.1,0.22,5.7,3.33,14,204,63,20,2.3,6.9
F107,"Carne de res, paletero",73,287,17.1,23.3,2.3,0,5,5,0.1,0.18,4.1,2.34,16,176,60,9,1.6,3.5
F100,"Carne de res, pecho",100,223,21.6,15.1,0.3,0,3,2,0.06,0.17,4.3,2.13,13,182,50,6,1.9,3.5
F100,"Carne de res, punta de anca",100,223,21.6,15.1,0.3,0,3,2,0.06,0.17,4.3,2.13,13,182,50,6,1.9,3.5
F098,"Carne de res, sobrebarriga",100,257,18.4,20.3,0.2,0,6,0,0.09,0.16,3.2,2.22,19,174,58,8,1.5,3.5
SCE0111,Cazuela de mariscos (paquete),57.5,104.39,20.18,1.75,1.75,0,14.25,263.16,0.0425,0.1575,2.4,3.8525,28.75,171,76.25,52,5.6,2.4
B027,Cebolla cabezona blanca,95,40,1.4,0.1,7.7,10,18,1,0.04,0.03,0.2,0,7,40,4,24,0.3,0.2
B027,Cebolla cabezona blanca bogotana,95,40,1.4,0.1,7.7,10,18,1,0.04,0.03,0.2,0,7,40,4,24,0.3,0.2
B027,Cebolla cabezona blanca importada,95,40,1.4,0.1,7.7,10,18,1,0.04,0.03,0.2,0,7,40,4,24,0.3,0.2
B027,Cebolla cabezona blanca pastusa,95,40,1.4,0.1,7.7,10,18,1,0.04,0.03,0.2,0,7,40,4,24,0.3,0.2
TCAM01,Cebolla cabezona roja,100,32,0.75,0.14,7.77,12.35,45.47,0,0.04,0.02,0.26,0,13.7,33,7.79,33,1.35,1.17
B027,Cebolla cabezona roja importada,95,40,1.4,0.1,7.7,10,18,1,0.04,0.03,0.2,0,7,40,4,24,0.3,0.2
TCAM01,Cebolla cabezona roja ocañera,100,32,0.75,0.14,7.77,12.35,45.47,0,0.04,0.02,0.26,0,13.7,33,7.79,33,1.35,1.17
TCAM01,Cebolla cabezona roja peruana,100,32,0.75,0.14,7.77,12.35,45.47,0,0.04,0.02,0.26,0,13.7,33,7.79,33,1.35,1.17
B029,Cebolla junca,40,37,1.2,0.1,6.8,13,26,200,0.04,0.05,0.3,0,17,31,15,57,0.5,0.2
B030,Cebolla puerro,95,69,1.6,0.1,14.4,12,64,50,0.07,0.05,0.5,0,28,51,20,58,0.8,0.1
SCB0033,Cebollín chino,95,29.89,2.53,0.53,4.86,76.22,105,599,0,0.074,0.47,0,42,57.67,4,64.44,1.28,0.38
L008,Chocolate amargo,100,622,4.9,42.6,49.3,0,6,2,0.04,0.04,1.1,0.28,186,220,17,80,3.6,2.9
K010,Chocolate dulce,100,466,3.6,16.6,75.5,0,1,2,0.05,0.09,0.2,0.6,43,132,90,36,3.5,1.2
SCN0038,Chocolate instantáneo,100,375,25,12.5,50,0,850,0,0.9,0.2,14,3.1,228,427,0,495.67,4.92,3.32
A053,Chócolo mazorca,100,152,3.4,1.2,30.5,10,42,28,0.13,0.07,1.6,0,34,120,3,5,0.8,0.4
B048,Cidra,65,27,0.8,0,5.2,15,93,4,0.03,0.04,0.6,0,12,23,2,15,0.4,0.7
C017,Ciruela importada,95,53,0.6,0.1,11.1,8,3,2,0.06,0.02,0.4,0,5,24,2,17,0.4,0.1
C017,Ciruela roja,95,53,0.6,0.1,11.1,8,3,2,0.06,0.02,0.4,0,5,24,2,17,0.4,0.1
C019,Coco,45,402,3.6,35.5,12.6,5,26,0,0.05,0.02,0.5,0,40,80,18,7,1.3,0.8
B037,Coles,60,50,2.5,0.5,8.4,125,50,65,0.13,0.06,1,0,13.5,43,21.66,60,1.2,0.21
B039,Coliflor,80,36,1.9,0.1,5.7,55,57,15,0.03,0.08,0.5,0,12,57,41,25,0.7,0.3
E021,"Corvina, filete congelado nacional",100,100,17.8,3.2,0,0,15,18,0.08,0.09,4.2,2.5,40,208,56,15,0.4,0.4
A017,Cuchuco de cebada,100,358,8.4,0.7,79.4,1,23,1,0.1,0.5,4.05,0,79,480,9,36,1.7,2.1
A044,Cuchuco de maíz,100,347,8.8,0.8,76,0,19,90,0.34,0.1,1.9,0,127,281,35,7,2.1,3.2
C021,Curuba,50,38,0.6,0.1,8.5,57,14,170,0,0.03,2.5,0,8,24,85,7,1,0.1
C023,Durazno importado,85,58,1,0.1,12.5,29,4,46,0.04,0.02,0.4,0,9,32,1,9,0.6,0.1
C023,Durazno nacional,85,58,1,0.1,12.5,29,4,46,0.04,0.02,0.4,0,9,32,1,9,0.6,0.1
B044,Espinaca,60,34,2.9,0.2,3.8,26,194,533,0.08,0.19,0.7,0,79,42,66,123,2.4,0.5
26,Fécula de maíz,100,370,0.3,0.1,91.4,0,0,0,0,0.0074,0,0,3,14.11,9,2,0.5,0.1
C024,Feijoa,83,83,1.7,0,15.8,28,23,2,0.04,0.04,1,0,23,16,3,41,1.9,0.6
C025,Fresa,95,45,0.8,0.5,8.3,67,22,4,0.03,0.03,0.4,0,13,26,2,21,0.5,0.2
T006,Fríjol bolón,100,371,21.4,1.2,58.7,5,394,0,0.43,0.2,2.1,0,142,430,15,125,7.1,2.8
T007,Fríjol cabeza negra importado,100,391,21.5,1.4,60.5,3,630,2,0.73,0.18,2.1,0,178,396,16,81,5.7,3.5
T007,Fríjol cabeza negra nacional,100,391,21.5,1.4,60.5,3,630,2,0.73,0.18,2.1,0,178,396,16,81,5.7,3.5
T015,Fríjol calima,100,370,19.4,1.2,61.1,2,394,2,0.38,0.12,4,0,210,344,12,155,8,2.9
T005,Fríjol cargamanto blanco,100,373,21.3,1.1,61.8,0,388,0,0.44,0.17,2,0,184,361,15,133,6.2,3.7
T011,Fríjol cargamanto rojo,100,386,22.8,1.5,60.4,6,524,0,0.46,0.2,1.4,0,176,424,10,119,5.3,2.6
