Demo_Group,Sex,Person,cost_day,total_household,per_capita,per_capita_year,per_capita_month,ciudad,fecha,escenario
9 a 13 años,1,3,1245.6656274655197,4400.656317314591,1466.8854391048637,535413.1852732752,44006.563173145914,CALI,2021-05-01,q1
31 a 50 años,0,1,1975.224806668419,4731.99244558871,1577.3308151962367,575725.7475466264,47319.9244558871,CALI,2021-05-01,q2
31 a 50 años,1,2,1417.312813578842,4731.99244558871,1577.3308151962367,575725.7475466264,47319.9244558871,CALI,2021-05-01,q2
9 a 13 años,1,3,1339.454825341449,4731.99244558871,1577.3308151962367,575725.7475466264,47319.9244558871,CALI,2021-05-01,q2
31 a 50 años,0,1,2040.4932387808362,4888.3542564816735,1629.4514188272244,594749.7678719369,48883.54256481673,CALI,2021-05-01,q3
31 a 50 años,1,2,1464.1458549839656,4888.3542564816735,1629.4514188272244,594749.7678719369,48883.54256481673,CALI,2021-05-01,q3
9 a 13 años,1,3,1383.7151627168714,4888.3542564816735,1629.4514188272244,594749.7678719369,48883.54256481673,CALI,2021-05-01,q3
31 a 50 años,0,1,2025.3087754654453,4851.977249947444,1617.3257499824813,590323.8987436057,48519.772499474435,CALI,2021-06-01,q1
31 a 50 años,1,2,1453.2503182574292,4851.977249947444,1617.3257499824813,590323.8987436057,48519.772499474435,CALI,2021-06-01,q1
9 a 13 años,1,3,1373.4181562245694,4851.977249947444,1617.3257499824813,590323.8987436057,48519.772499474435,CALI,2021-06-01,q1
31 a 50 años,0,1,2162.905050255817,5181.6129099751215,1727.2043033250404,630429.5707136397,51816.12909975121,CALI,2021-06-01,q2
31 a 50 años,1,2,1551.9818462853912,5181.6129099751215,1727.2043033250404,630429.5707136397,51816.12909975121,CALI,2021-06-01,q2
9 a 13 años,1,3,1466.7260134339133,5181.6129099751215,1727.2043033250404,630429.5707136397,51816.12909975121,CALI,2021-06-01,q2
31 a 50 años,0,1,2239.288269961384,5364.602115758806,1788.2007052529352,652693.2574173213,53646.02115758805,CALI,2021-06-01,q3
31 a 50 años,1,2,1606.7902486837525,5364.602115758806,1788.2007052529352,652693.2574173213,53646.02115758805,CALI,2021-06-01,q3
9 a 13 años,1,3,1518.5235971136697,5364.602115758806,1788.2007052529352,652693.2574173213,53646.02115758805,CALI,2021-06-01,q3
31 a 50 años,0,1,1975.781169713536,4733.325309431655,1577.775103143885,575887.912647518,47333.25309431655,CALI,2021-07-01,q1
31 a 50 años,1,2,1417.7120291365768,4733.325309431655,1577.775103143885,575887.912647518,47333.25309431655,CALI,2021-07-01,q1
9 a 13 años,1,3,1339.8321105815426,4733.325309431655,1577.775103143885,575887.912647518,47333.25309431655,CALI,2021-07-01,q1
31 a 50 años,0,1,2113.8595842639775,5064.116018593319,1688.0386728644396,616134.1155955205,50641.160185933186,CALI,2021-07-01,q2
31 a 50 años,1,2,1516.7895141703318,5064.116018593319,1688.0386728644396,616134.1155955205,50641.160185933186,CALI,2021-07-01,q2
9 a 13 años,1,3,1433.4669201590095,5064.116018593319,1688.0386728644396,616134.1155955205,50641.160185933186,CALI,2021-07-01,q2
31 a 50 años,0,1,2188.5107581714815,5242.955809280465,1747.6519364268215,637892.9567957899,52429.55809280465,CALI,2021-07-01,q3
31 a 50 años,1,2,1570.3550956528093,5242.955809280465,1747.6519364268215,637892.9567957899,52429.55809280465,CALI,2021-07-01,q3
