Demo_Group,Sex,Person,cost_day,total_household,per_capita,per_capita_year,per_capita_month,ciudad,fecha,escenario
31 a 50 años,0,1,3946.598100627286,11372.773505271336,3790.924501757112,1383687.4431413459,113727.73505271337,MEDELLÍN,2020-02-01,q3
31 a 50 años,1,2,3753.929360591863,11372.773505271336,3790.924501757112,1383687.4431413459,113727.73505271337,MEDELLÍN,2020-02-01,q3
9 a 13 años,1,3,3672.2460440521872,11372.773505271336,3790.924501757112,1383687.4431413459,113727.73505271337,MEDELLÍN,2020-02-01,q3
31 a 50 años,0,1,3581.699112879955,10585.693960273271,3528.564653424424,1287926.0984999146,105856.93960273272,MEDELLÍN,2020-03-01,q1
31 a 50 años,1,2,3540.3584012834813,10585.693960273271,3528.564653424424,1287926.0984999146,105856.93960273272,MEDELLÍN,2020-03-01,q1
9 a 13 años,1,3,3463.636446109834,10585.693960273271,3528.564653424424,1287926.0984999146,105856.93960273272,MEDELLÍN,2020-03-01,q1
31 a 50 años,0,1,3727.3760139013048,10954.469569906372,3651.4898566354573,1332793.7976719418,109544.69569906371,MEDELLÍN,2020-03-01,q2
31 a 50 años,1,2,3653.809677411798,10954.469569906372,3651.4898566354573,1332793.7976719418,109544.69569906371,MEDELLÍN,2020-03-01,q2
9 a 13 años,1,3,3573.28387859327,10954.469569906372,3651.4898566354573,1332793.7976719418,109544.69569906371,MEDELLÍN,2020-03-01,q2
31 a 50 años,0,1,4026.161253730012,11659.185155629717,3886.3950518765723,1418534.1939349489,116591.85155629717,MEDELLÍN,2020-03-01,q3
31 a 50 años,1,2,3871.513353781303,11659.185155629717,3886.3950518765723,1418534.1939349489,116591.85155629717,MEDELLÍN,2020-03-01,q3
9 a 13 años,1,3,3761.5105481184014,11659.185155629717,3886.3950518765723,1418534.1939349489,116591.85155629717,MEDELLÍN,2020-03-01,q3
31 a 50 años,0,1,3849.1993067724,11125.708531626678,3708.569510542226,1353627.8713479126,111257.08531626678,MEDELLÍN,2020-04-01,q1
31 a 50 años,1,2,3686.4323232467805,11125.708531626678,3708.569510542226,1353627.8713479126,111257.08531626678,MEDELLÍN,2020-04-01,q1
9 a 13 años,1,3,3590.076901607498,11125.708531626678,3708.569510542226,1353627.8713479126,111257.08531626678,MEDELLÍN,2020-04-01,q1
31 a 50 años,0,1,4011.3046592696305,11494.634078671408,3831.5446928904694,1398513.8129050212,114946.34078671408,MEDELLÍN,2020-04-01,q2
31 a 50 años,1,2,3785.1463101163336,11494.634078671408,3831.5446928904694,1398513.8129050212,114946.34078671408,MEDELLÍN,2020-04-01,q2
9 a 13 años,1,3,3698.183109285444,11494.634078671408,3831.5446928904694,1398513.8129050212,114946.34078671408,MEDELLÍN,2020-04-01,q2
31 a 50 años,0,1,4203.81088058075,12108.688671756197,4036.2295572520657,1473223.788397004,121086.88671756197,MEDELLÍN,2020-04-01,q3
31 a 50 años,1,2,4011.0973076658447,12108.688671756197,4036.2295572520657,1473223.788397004,121086.88671756197,MEDELLÍN,2020-04-01,q3
9 a 13 años,1,3,3893.7804835096026,12108.688671756197,4036.2295572520657,1473223.788397004,121086.88671756197,MEDELLÍN,2020-04-01,q3
31 a 50 años,0,1,3940.931859992662,11235.401244308548,3745.1337481028495,1366973.81805754,112354.01244308549,MEDELLÍN,2020-05-01,q1
31 a 50 años,1,2,3678.0447326375565,11235.401244308548,3745.1337481028495,1366973.81805754,112354.01244308549,MEDELLÍN,2020-05-01,q1
9 a 13 años,1,3,3616.4246516783305,11235.401244308548,3745.1337481028495,1366973.81805754,112354.01244308549,MEDELLÍN,2020-05-01,q1
31 a 50 años,0,1,4055.3689226345173,11589.143063399611,3863.0476877998703,1410012.4060469526,115891.4306339961,MEDELLÍN,2020-05-01,q2
31 a 50 años,1,2,3807.446329320285,11589.143063399611,3863.0476877998703,1410012.4060469526,115891.4306339961,MEDELLÍN,2020-05-01,q2
9 a 13 años,1,3,3726.3278114448094,11589.143063399611,3863.0476877998703,1410012.4060469526,115891.4306339961,MEDELLÍN,2020-05-01,q2
31 a 50 años,0,1,4249.389690800015,12208.208515366074,4069.402838455358,1485332.0360362057,122082.08515366074,MEDELLÍN,2020-05-01,q3
31 a 50 años,1,2,4035.0874660409863,12208.208515366074,4069.402838455358,1485332.0360362057,122082.08515366074,MEDELLÍN,2020-05-01,q3
9 a 13 años,1,3,3923.7313585250713,12208.208515366074,4069.402838455358,1485332.0360362057,122082.08515366074,MEDELLÍN,2020-05-01,q3
31 a 50 años,0,1,3945.9179992788536,11111.904612347902,3703.968204115967,1351948.394502328,111119.04612347901,MEDELLÍN,2020-06-01,q1
31 a 50 años,1,2,3601.5095382589825,11111.904612347902,3703.968204115967,1351948.394502328,111119.04612347901,MEDELLÍN,2020-06-01,q1
