food_key,food,best_model,best_mape,best_rmse,info
POLLO ENTERO CONGELADO SIN VISCERAS,Pollo entero congelado sin vísceras,m7_fd_dummies,0.01151248931904606,55.457022669602914,n_obs=62
POLLO ENTERO POR LIBRA,POLLO ENTERO POR LIBRA,m0_ipc_fill,0.02760473437166323,123.6533718613382,CALI
QUESO CAMPESINO,Queso campesino,m7_fd_dummies,0.01639969169145621,162.46411949665264,n_obs=62
REPOLLO,REPOLLO,m0_ipc_fill,0.8959672131968582,632.4507597652757,CALI
REPOLLO BLANCO,Repollo blanco,m4_asy_ecm_mtar,0.09721560803590908,79.55883178815327,n_total=63
SAL,SAL,m0_ipc_fill,0.003236764211255258,2.109580705124434,CALI
SAL YODADA,Sal yodada,m7_fd_dummies,0.01520465121252352,9.581098011498202,n_obs=62
TILAPIA ROJA ENTERA CONGELADA,Tilapia roja entera congelada,m7_fd_dummies,0.04322565472592829,570.3022898258769,n_obs=62
TOMATE,TOMATE,m0_ipc_fill,0.003957262818024432,5.887148061770841,CALI
TOMATE DE ARBOL,TOMATE DE ÁRBOL,m0_ipc_fill,0.002143265010655854,3.948019622467353,CALI
TOMATE LARGA VIDA,Tomate larga vida,m4_asy_ecm_mtar,0.12628947170775978,194.4808432065247,n_total=63
YUCA,YUCA,m0_ipc_fill,0.00262467974437467,3.285266483623204,CALI
ZANAHORIA,ZANAHORIA,m0_ipc_fill,0.004861822046399702,6.25636632557997,CALI
