ciudad,articulo,subclase_ipc,k,apply_D,lambda,sigma2,r2,n_obs,est_ok,k_city,sigma2_sc,Q_sc,delta,lambda_shrunk,reversion_reason,lambda_final,method_label
BOGOTÁ D.C.,TOMATE DE ÁRBOL,011607,3,TRUE,1.0036108660774166,2.780122265425159e-5,0.9954459170872036,203,TRUE,1,2.780122265425159e-5,1.303835382903768e-5,3.132264779648453,1.0113101886383193,none,1.0113101886383193,D_city
BOGOTÁ D.C.,MORAS,011608,3,TRUE,1.0099633854149086,8.807741491589177e-5,0.9711344995987063,203,TRUE,1,8.807741491589177e-5,9.926904892601339e-5,1.887259582607033,1.0188034945994935,none,1.0188034945994935,D_city
BOGOTÁ D.C.,GUAYABAS,011609,3,TRUE,0.2985661825507664,0.00610394690436384,0.03871362091909398,203,TRUE,9,0.006751022643576462,3.1356151474057548,0.9849289034899155,0.3091375593089808,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,LIMONES,011609,3,TRUE,1.7960506965191347,0.02280726255252814,0.280594100794189,203,TRUE,9,0.006751022643576462,3.1356151474057548,0.9849289034899155,1.784053339644975,none,1.784053339644975,D_city
BOGOTÁ D.C.,AGUACATE,011609,3,TRUE,0.6529525871978765,0.00348057073780202,0.25250137555835755,203,TRUE,9,0.006751022643576462,3.1356151474057548,0.9849289034899155,0.6581829722497925,none,0.6581829722497925,D_city
BOGOTÁ D.C.,CURUBAS,011609,3,TRUE,1.3803546734322976,0.0046779046837442,0.529020520252379,203,TRUE,9,0.006751022643576462,3.1356151474057548,0.9849289034899155,1.3746223114409377,none,1.3746223114409377,D_city
BOGOTÁ D.C.,PAPAYAS,011609,3,TRUE,1.4243885146789514,0.00628988808413413,0.4707643805644185,203,TRUE,9,0.006751022643576462,3.1356151474057548,0.9849289034899155,1.4179925144164536,none,1.4179925144164536,D_city
BOGOTÁ D.C.,MARACUYA,011609,3,TRUE,1.4736178381150078,0.00690383232369926,0.4644964392898731,203,TRUE,9,0.006751022643576462,3.1356151474057548,0.9849289034899155,1.4664798979678788,none,1.4664798979678788,D_city
BOGOTÁ D.C.,PIÑAS,011609,3,TRUE,0.27721217141028953,0.00302787575952032,0.06541056869032491,203,TRUE,9,0.006751022643576462,3.1356151474057548,0.9849289034899155,0.28810537653127954,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,MANZANAS,011609,3,TRUE,0.4003729472993799,0.00276241516542358,0.1379477472911873,203,TRUE,9,0.006751022643576462,3.1356151474057548,0.9849289034899155,0.40940998448068844,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,LULOS,011609,3,TRUE,0.3229452489485714,0.00470550758097267,0.0576005796069295,203,TRUE,9,0.006751022643576462,3.1356151474057548,0.9849289034899155,0.3331492064442787,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,CARNE DE RES SIN HUESO,011201,3,TRUE,1.0330565469222868,2.8138741944387957e-5,0.8971983226828087,203,TRUE,3,2.2903694287718462e-4,0.62091960897081,0.9996311326948478,1.033044353442906,none,1.033044353442906,D_city
BOGOTÁ D.C.,CARNE DE RES CON HUESO,011201,3,TRUE,0.6794373155013326,3.3044575979644745e-4,0.24326819576245173,203,TRUE,3,2.2903694287718462e-4,0.62091960897081,0.9996311326948478,0.679555560594896,none,0.679555560594896,D_city
BOGOTÁ D.C.,VISCERAS - HIGADO,011201,3,TRUE,0.28092668038412627,3.285263268907185e-4,0.05238334438082641,203,TRUE,3,2.2903694287718462e-4,0.62091960897081,0.9996311326948478,0.2811919230217398,low_R2,1,BASE_lowR2
